fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
33,2,0.5,10.0,0.6875,0.6587301587301587,0.363696483726654,0.10734610210434464,0.1134926024162934,47.25137116587786,16
34,1,0.2,10.0,0.5,0.5238095238095238,0.050964719143762556,0.0990996327054016,0.11377547356559078,28.476892107027975,16
35,2,0.2,10.0,0.625,0.625,0.2581988897471611,0.04234370406093948,0.08299805685975221,10.81824635335721,16
36,1,0.5,1.0,0.5,0.5,0.0,0.12021666320561929,0.12287964796940691,50.0614674820652,16
37,2,0.1,1.0,0.5,0.5,0.0,0.019873339079528565,0.06464070023080545,3.0543808028478936,16
38,2,0.5,10.0,0.6875,0.7063492063492063,0.42289003161103106,0.11229502911130315,0.1183354895863664,47.70360898356017,16
39,1,0.2,10.0,0.6875,0.6746031746031746,0.3578300267477955,0.07946671753257664,0.09436922338448635,24.449678165579474,16
40,2,0.2,10.0,0.375,0.375,-0.2886751345948129,0.0462221768172786,0.09520413951619566,10.670565025029536,16
41,1,0.2,10.0,0.5,0.5,0.0,0.0883523889925159,0.10194814291890385,25.790883546429075,16
42,2,0.5,1.0,0.625,0.625,0.2581988897471611,0.11296358712775088,0.11817038463013368,46.746540661636516,16
43,1,0.2,10.0,0.6875,0.6904761904761905,0.3779644730092272,0.08761406438755551,0.10304666339521316,28.17378946319143,16
44,1,0.2,10.0,0.625,0.6507936507936507,0.32277655457716287,0.0844654833348241,0.09944048499273651,25.353594521831994,16
45,2,0.2,10.0,0.4375,0.4375,-0.1259881576697424,0.044596892975468386,0.09079497487337419,10.857948939786358,16
46,1,0.2,10.0,0.625,0.625,0.2581988897471611,0.0997697934363527,0.11101119952751325,27.72817589663498,16
47,1,0.2,1.0,0.6875,0.6875,0.3779644730092272,0.07733967721146255,0.08957437122729296,24.81642465410084,16
48,1,0.2,1.0,0.4375,0.42063492063492064,-0.16265001215808886,0.08529758901235926,0.10053538451913319,26.00025555712667,16
49,2,0.5,10.0,0.5,0.46031746031746035,-0.10087125544480041,0.11045369662828133,0.11615048202890935,48.380559505982745,16
50,2,0.5,10.0,0.5,0.5,0.0,0.11807612530137178,0.1232241206066084,46.27947950197782,16
51,2,0.1,10.0,0.5625,0.5625,0.1259881576697424,0.014930071714607071,0.045872587754164765,3.062793742455212,16
52,1,0.05,10.0,0.4375,0.4375,-0.13483997249264842,0.007241856562329334,0.041282271431516866,1.4138226182571374,16
53,1,0.2,10.0,0.5625,0.5634920634920635,0.1259881576697424,0.09447164848693886,0.10886526804648752,26.87072760426124,16
54,1,0.2,10.0,0.5625,0.5634920634920635,0.1259881576697424,0.08004287710956665,0.09303699942019546,27.202825103745962,16
55,2,0.5,10.0,0.5625,0.5625,0.13483997249264842,0.11198887814665365,0.11681631171782321,46.2298542610001,16
56,1,0.2,1.0,0.4375,0.4375,-0.1259881576697424,0.0946282131414208,0.10761036766170805,25.975264643688696,16
57,2,0.1,10.0,0.4375,0.4375,-0.1259881576697424,0.02088582612446325,0.07234355751820408,3.0137132627460734,16
58,1,0.2,10.0,0.6875,0.7063492063492063,0.42289003161103106,0.08199971810137792,0.09701768428490018,25.85869832372677,16
59,1,0.2,10.0,0.5625,0.5634920634920635,0.1259881576697424,0.08857496645969982,0.10438444667785479,29.18363687252832,16
60,1,0.1,10.0,0.375,0.375,-0.2581988897471611,0.02908464844886558,0.0820453791181533,3.687685887160329,16
61,2,0.1,10.0,0.4375,0.4375,-0.1259881576697424,0.01930083666841854,0.06293221230065894,2.9546217996792605,16
62,1,0.1,10.0,0.625,0.625,0.2581988897471611,0.020469325200466876,0.05602987990284726,3.6361208259403357,16
63,2,0.5,10.0,0.5625,0.5476190476190476,0.09759000729485331,0.11016644877011023,0.11639166608620467,45.450602925082684,16
64,2,0.2,10.0,0.4375,0.42063492063492064,-0.16265001215808886,0.043751274375322696,0.09299499211790153,10.63329760425905,16
65,2,0.1,10.0,0.375,0.375,-0.2581988897471611,0.02764424975270654,0.10365128040544379,3.1746035721614265,16
66,1,0.2,10.0,0.6875,0.6875,0.40451991747794525,0.07470074708313229,0.08526461283999191,24.96228682215027,16
67,1,0.5,10.0,0.5,0.5,0.0,0.11916662235907725,0.12102741894874801,49.82021259817189,16
68,1,0.2,10.0,0.5625,0.5634920634920635,0.1259881576697424,0.09163361470258866,0.10623527960162979,28.405040012147865,16
