fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_gamma
50,0.5,0.55,0.21693045781865616,0.12040329786545037,0.12302894198340497,41.855494718390865,18,1.0,0.1
51,0.5,0.5649350649350648,0.15228622596829317,0.07886520360142768,0.09622896105501309,12.002023361334524,18,10.0,scale
52,0.4166666666666667,0.5,0.0,0.10624511892408277,0.10818380135340798,46.06248701446087,12,0.1,0.1
53,0.14285714285714285,0.07692307692307693,-0.5310850045437943,0.020150147651202394,0.03749375615267582,3.5376455104346154,14,1.0,0.01
54,0.6666666666666666,0.6666666666666667,0.34188172937891387,0.057111322851499724,0.09139849937200493,10.89597914639183,18,10.0,scale
55,0.5714285714285714,0.625,0.3535533905932738,0.11688145932921981,0.11965953358576184,46.36168876166626,14,10.0,0.1
56,0.4444444444444444,0.475,-0.05976143046671968,0.01887633196182493,0.05861448104611567,3.57634109626969,9,10.0,0.01
57,0.375,0.3907563025210084,-0.20143542511732357,0.04069029423743242,0.10120330378840554,3.8490332110080403,24,10.0,0.01
58,0.23809523809523808,0.5,0.0,0.10647873580665168,0.06299541191476439,10.746117962014656,21,0.1,scale
59,0.5,0.5555555555555556,0.09759000729485331,0.11164328811068822,0.11674179776023245,46.23720695054992,12,1.0,0.1
60,0.5,0.5,0.0,0.05404773670637509,0.08393765037750901,10.62877118437113,18,1.0,scale
61,0.5,0.5,0.0,0.04571921738201779,0.07209260398347483,11.456399813151144,12,0.1,scale
62,0.6,0.5,0.0,0.05161397816054562,0.08891737293087927,11.848319762422214,15,0.1,scale
63,0.42857142857142855,0.42727272727272725,-0.14545454545454545,0.05043501531578687,0.08270364706242864,10.133332820921229,21,10.0,scale
64,0.5,0.5,0.0,0.04373280808023712,0.06756389152733673,11.254695152605205,14,0.1,scale
65,0.5714285714285714,0.5,0.0,0.1200623502913971,0.12439376584752648,44.35209269495649,21,0.1,0.1
66,0.56,0.5487012987012987,0.09869275424396534,0.03831566781106241,0.06350182221476611,3.7423933384261447,25,10.0,0.01
67,0.42857142857142855,0.4222222222222222,-0.14907119849998599,0.0493379630436292,0.08798288225032815,10.65735394112167,14,1.0,scale
68,0.6363636363636364,0.5,0.0,0.12102077024493457,0.1223497794585416,60.87021005274345,11,0.1,1
69,0.3333333333333333,0.5,0.0,0.05539973319589642,0.07436575470962795,10.998231308912372,9,0.1,scale
70,0.55,0.5,0.0,0.01597832547780498,0.05626398369131237,3.516278543139651,20,0.1,0.01
71,0.26666666666666666,0.2767857142857143,-0.472455591261534,0.11650785848409338,0.11947250423537357,45.66931945629042,15,10.0,0.1
72,0.2222222222222222,0.5,0.0,0.11937049398927671,0.1180609208598162,50.83440239626855,9,1.0,0.1
73,0.5789473684210527,0.5,0.0,0.018283677601225845,0.06803714519422521,3.271896564892206,19,0.1,0.01
