fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_degree,best_gamma,best_coef0
17,0.6666666666666666,0.6388888888888888,0.3042903097250923,0.015983393857149687,0.09999110391099075,16.49991652907818,21,0.1,2,1,1.0
18,0.42105263157894735,0.4318181818181818,-0.13636363636363635,0.0008727953533650312,0.06470020966235704,5.769807110612622,19,10.0,2,scale,1.0
19,0.5,0.5,0.0,0.019171987716220695,0.07979264110195665,21.20336400199848,10,10.0,3,0.1,0.0
20,0.4583333333333333,0.5625,0.14509525002200233,0.024280021658581157,0.05591130004682259,6.3121913290252225,24,1.0,2,scale,1.0
21,0.3888888888888889,0.4125,-0.1941450686788302,0.07652559157955505,0.0947851321541481,15.904449440720347,18,1.0,2,scale,0.0
22,0.6,0.5238095238095238,0.047619047619047616,0.0087144102816259,0.07632822027597923,23.02082782516366,10,10.0,3,0.1,0.0
23,0.5714285714285714,0.5714285714285714,0.14907119849998599,0.022552533293087342,0.09226370061554419,15.965105866599805,14,1.0,2,0.1,0.0
24,0.6428571428571429,0.675,0.31622776601683794,4.138103944700738e-05,0.080953478631084,22.315000245445557,14,10.0,3,0.1,1.0
25,0.5555555555555556,0.6666666666666666,0.3779644730092272,0.0010808670636518979,0.06591711010067573,15.603658059221376,9,10.0,2,0.1,1.0
26,0.4444444444444444,0.3076923076923077,-0.38461538461538464,0.04317876419987797,0.10777234486362232,21.404638976895352,18,1.0,3,0.1,0.0
27,0.5555555555555556,0.575,0.15811388300841897,0.08074792876842508,0.08334894163519337,21.112876270046808,18,10.0,3,scale,0.0
28,0.3684210526315789,0.5,0.0,0.049347651625276434,0.061873868391362795,15.133742401368522,19,0.1,2,scale,0.0
29,0.25,0.23333333333333334,-0.5163977794943222,0.03075525892540675,0.09952503924988468,15.916843979317948,16,0.1,2,0.1,1.0
30,0.3888888888888889,0.2916666666666667,-0.43852900965351455,-0.0014242852030163964,0.05962916997066616,6.537473719925088,18,1.0,2,scale,1.0
31,0.4444444444444444,0.41666666666666663,-0.15811388300841897,0.0731194549276042,0.0899492338201097,16.574113886497152,9,10.0,2,scale,0.0
32,0.42857142857142855,0.4375,-0.125,0.0034935262371417588,0.07342761507015136,10.744250018417281,14,10.0,3,scale,1.0
33,0.65,0.625,0.25677629550654774,0.004020279155380915,0.0815322378632907,20.72803766680782,20,0.1,3,1,1.0
34,0.3684210526315789,0.5,0.0,0.07921547115597798,0.09031793036290463,15.91663407584124,19,0.1,2,scale,0.0
35,0.35294117647058826,0.3214285714285714,-0.36780617896031226,0.006055552459084018,0.08606192146716311,21.81864700871596,17,10.0,3,0.1,1.0
36,0.6666666666666666,0.6857142857142857,0.37142857142857144,0.0026204282982441535,0.060883768414606014,6.545768023216628,12,10.0,2,scale,1.0
37,0.6153846153846154,0.5138888888888888,0.03042903097250923,0.003256424644282952,0.07478656858728437,22.08083065795634,13,1.0,3,0.1,0.0
38,0.5,0.475,-0.05547001962252291,-0.0014440637519777925,0.07857447624780704,16.210117210036888,18,0.1,2,1,0.0
39,0.45,0.5119047619047619,0.022875450543583874,0.035722243214502965,0.09856316828642665,16.269712986107653,20,0.1,2,1,0.0
40,0.5,0.35714285714285715,-0.3273268353539886,0.0028333603983907675,0.07176948769655835,22.505470316442064,10,1.0,3,0.1,0.0
41,0.2631578947368421,0.28205128205128205,-0.4200412794412907,0.09489364799028391,0.09645004559439588,15.694735974984436,19,10.0,2,scale,0.0
42,0.5625,0.55,0.09759000729485331,0.01170848737757602,0.08165381653058598,16.972113685284903,16,0.1,2,0.1,0.0
43,0.5263157894736842,0.55,0.08819171036881969,-0.0023242622768280836,0.06644873035032828,13.693636753598058,19,1.0,2,0.1,1.0
44,0.5625,0.5317460317460317,0.07273929674533079,0.013779031025991487,0.08744313687516353,16.166195576222705,16,1.0,2,0.1,0.0
45,0.6666666666666666,0.5,0.0,0.07180877474781124,0.0722128125358949,24.04081275447839,6,10.0,3,scale,0.0
46,0.5909090909090909,0.5476190476190476,0.09221388919541469,0.03694095962769751,0.092186367285207,15.5203612544042,22,1.0,2,1,0.0
