fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C
26,0.5,0.5,0.0,0.005905241383821629,0.04971645069510346,7.306342860882158,16,1.0
27,0.5,0.5,0.0,-0.007826386205050294,0.03520343897538048,7.117002918704388,16,1.0
28,0.5,0.4920634920634921,-0.015873015873015872,-0.008376182709350314,0.03908627516206598,7.154129551661129,16,1.0
29,0.5625,0.5634920634920635,0.1259881576697424,-0.006057496652067151,0.038209130782257475,7.09830887226442,16,0.1
30,0.375,0.375,-0.25,-0.013049168282597716,0.029302553571412544,7.044933290296152,16,0.1
31,0.5,0.5,0.0,0.0011560741442740727,0.04683017353374227,7.1861152087699365,16,1.0
32,0.5,0.5,0.0,-0.014727950791287558,0.030447548263437547,7.220890192707192,16,0.1
33,0.4375,0.4365079365079365,-0.1259881576697424,0.013247757940536514,0.06011619597146202,7.337471690605876,16,0.1
34,0.4375,0.4365079365079365,-0.1259881576697424,-0.010510892424154442,0.03334491064942846,7.137135076741299,16,1.0
35,0.625,0.625,0.2581988897471611,-0.02035318665304951,0.02302539376118928,7.135492141732799,16,1.0
36,0.3125,0.3125,-0.40451991747794525,0.0116048152346733,0.05934860662135231,7.2989231411007935,16,10.0
37,0.4375,0.4375,-0.1259881576697424,-0.0007899160975272645,0.042337720211623804,7.161573195786783,16,1.0
38,0.375,0.36507936507936506,-0.2698412698412698,-0.011569089280436104,0.0337903382556915,7.238773380067904,16,0.1
39,0.5,0.4920634920634921,-0.015873015873015872,0.013391022662530706,0.059172568296464174,7.040762424502729,16,0.1
40,0.375,0.375,-0.2581988897471611,0.004546492934158108,0.04897408616845655,7.138968666778129,16,0.1
41,0.5,0.5,0.0,-0.005275646767910562,0.03977174143150815,7.1238236537748945,16,1.0
42,0.4375,0.4375,-0.13483997249264842,-0.0001451937300284946,0.045202331154453504,7.086764487427471,16,10.0
43,0.4375,0.42063492063492064,-0.16265001215808886,-0.0052217127054419174,0.03935061727256099,7.40268465511757,16,0.1
44,0.5625,0.5476190476190476,0.09759000729485331,-0.00804648781045421,0.03697500688530419,6.9799565202830465,16,0.1
45,0.6875,0.6875,0.3779644730092272,-0.013573852216182465,0.029779472174513048,7.106722775624337,16,0.1
46,0.3125,0.3125,-0.40451991747794525,0.011921036796412997,0.05563822819354393,7.235313925585936,16,10.0
47,0.625,0.625,0.2581988897471611,-0.015598900057487174,0.02881611177336125,7.160543446367916,16,1.0
48,0.375,0.38095238095238093,-0.23809523809523808,0.0194327106758827,0.06571700029701516,6.842356170234632,16,1.0
49,0.4375,0.45238095238095233,-0.09759000729485331,-0.010807024336411793,0.03579859948750701,7.3858682697531135,16,1.0
50,0.5,0.5,0.0,0.00609266625520537,0.0530582008078893,6.986299294733842,16,1.0
51,0.625,0.625,0.2581988897471611,-0.01802547588478081,0.0272352856415955,7.325036734272208,16,0.1
52,0.5625,0.5625,0.13483997249264842,-0.002748267834618989,0.03913968739275914,7.319751671946565,16,0.1
53,0.5,0.47619047619047616,-0.050964719143762556,0.0028856904024729076,0.04776177222301336,6.866336048326209,16,0.1
54,0.375,0.38095238095238093,-0.23809523809523808,-0.004525874427352104,0.04050281006850929,7.3100936292733865,16,0.1
55,0.375,0.375,-0.2581988897471611,-0.005258823519368353,0.03926275778324894,6.802421314803715,16,1.0
56,0.4375,0.4375,-0.1259881576697424,-0.0008348026596208902,0.04237930065907428,7.230714878286976,16,0.1
57,0.4375,0.4375,-0.1259881576697424,0.012034678452681758,0.0586941242580853,7.149228738770531,16,0.1
58,0.5,0.4920634920634921,-0.015873015873015872,-0.0075726634938434855,0.03654236584789678,7.093656878685477,16,0.1
59,0.5625,0.5317460317460317,0.07273929674533079,-0.009207517292927224,0.03670470328556961,7.477495974223725,16,0.1
60,0.25,0.25,-0.5,0.01792850717748568,0.0652207068367001,7.108658120237964,16,0.1
61,0.3125,0.3125,-0.3779644730092272,0.002143707605842838,0.044861819683649454,7.215331771843273,16,10.0
62,0.4375,0.4375,-0.1259881576697424,-0.0036184865634334286,0.038924399104088986,7.279024442907265,16,0.1
63,0.375,0.36507936507936506,-0.2698412698412698,0.0013033813331680113,0.04720606131349767,7.260879594932951,16,1.0
64,0.375,0.36507936507936506,-0.2698412698412698,-0.01316777670433139,0.03208157423500444,6.927020371966047,16,0.1
65,0.25,0.25,-0.5163977794943222,0.036459659974561826,0.08451752463848983,7.231854995511061,16,0.1
66,0.4375,0.4375,-0.13483997249264842,-0.023063756104214187,0.021037788860133924,7.142018470256339,16,10.0
67,0.4375,0.4375,-0.1259881576697424,-0.007659451608089684,0.03447636876612527,7.059133924349331,16,10.0
68,0.4375,0.45238095238095233,-0.09759000729485331,-0.005448987532557165,0.03852954286143592,7.1265495030141075,16,1.0
69,0.4375,0.4365079365079365,-0.1259881576697424,-0.009361230590049868,0.035893518010483655,7.193981428870583,16,0.1
70,0.5625,0.5625,0.1259881576697424,0.0017926577661248472,0.04103380415927063,7.159949414747739,16,1.0
71,0.5,0.5,0.0,-0.0034258521110897416,0.03961332353076472,6.985355054957265,16,10.0
72,0.4375,0.4375,-0.1259881576697424,-0.005226447472963911,0.041650513197271276,7.196917621732005,16,0.1
73,0.375,0.3968253968253968,-0.22084711628963774,0.004778507281098126,0.049219019376605486,6.962659763967643,16,1.0
74,0.4375,0.42063492063492064,-0.16265001215808886,-0.010835620111311001,0.036231738314550635,7.363480615014715,16,1.0
75,0.4375,0.4375,-0.1259881576697424,0.0017638795212015265,0.046502748201674646,7.444639382919686,16,10.0
76,0.625,0.625,0.2886751345948129,-0.009728964649562683,0.03377547078989597,7.153038652083056,16,1.0
77,0.5,0.5,0.0,-0.007229931090886049,0.04011163569706373,6.983847272976076,16,1.0
78,0.3125,0.30952380952380953,-0.3779644730092272,-0.007447262470439594,0.03792854795604414,7.2128724557786885,16,1.0
79,0.4375,0.45238095238095233,-0.09759000729485331,0.008377038023677464,0.05226251411155595,7.02965170157965,16,0.1
80,0.5625,0.5625,0.1259881576697424,-0.011408547655348504,0.030007293739629584,6.94784584989878,16,0.1
81,0.4375,0.4375,-0.1259881576697424,-0.0009775073710669817,0.04605560756046139,7.347040903224395,16,0.1
82,0.4375,0.4375,-0.1259881576697424,0.01201007007189337,0.058466832734834225,7.19206899299171,16,0.1
83,0.625,0.6349206349206349,0.2698412698412698,-0.012700223932507084,0.0315339064780367,7.08641994533465,16,1.0
84,0.5625,0.5476190476190476,0.09759000729485331,-0.01281377761787694,0.03084599960216928,7.118717944752229,16,10.0
85,0.3125,0.3125,-0.3779644730092272,-0.013721893169206046,0.02943335403058895,7.2722464443910395,16,0.1
86,0.5625,0.5625,0.1259881576697424,-0.003997366643565606,0.03743228417082165,6.945456936118488,16,0.1
