fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_gamma
56,0.5,0.5,0.0,0.12480877117410895,0.126197075924271,48.136742591529,16,10.0,0.1
57,0.5625,0.5625,0.1259881576697424,0.024617340476745915,0.07008368982654269,3.4786067734301795,16,10.0,0.01
58,0.625,0.6507936507936507,0.32277655457716287,0.11121010120855626,0.11463745741624465,47.18313100384315,16,10.0,0.1
59,0.625,0.6190476190476191,0.23809523809523808,0.11949959613298863,0.1227370427763861,52.42737713483525,16,1.0,0.1
60,0.375,0.375,-0.2581988897471611,0.027947675763876075,0.08157838562649912,3.5641743155222576,16,10.0,0.01
61,0.375,0.375,-0.25,0.022010647516249166,0.05826060784275269,3.3825581807495486,16,10.0,0.01
62,0.6875,0.6875,0.3779644730092272,0.019633878012345594,0.055391659712310415,3.515402396500842,16,10.0,0.01
63,0.5625,0.5158730158730158,0.047619047619047616,0.13007117095736384,0.13151444647955918,57.80457966926385,16,1.0,1
64,0.5,0.47619047619047616,-0.050964719143762556,0.04358127620679747,0.07565895572633713,10.559779580744232,16,10.0,scale
65,0.5625,0.5625,0.1259881576697424,0.07103749383308755,0.11519481140499209,11.861428386698442,16,10.0,scale
66,0.625,0.625,0.2886751345948129,0.04015810936398878,0.061378575480951485,11.039988364929572,16,10.0,scale
67,0.5,0.5,0.0,0.04305084545271588,0.0672391991530264,10.9651223446447,16,10.0,scale
68,0.5625,0.5476190476190476,0.09759000729485331,0.050315107027610516,0.08432417310695416,11.245498964847728,16,10.0,scale
69,0.5,0.4920634920634921,-0.015873015873015872,0.04553655303906074,0.0789637118043308,10.75060001990819,16,10.0,scale
70,0.5625,0.5625,0.2581988897471611,0.1278675157500209,0.12941315293267683,57.1029270980838,16,1.0,1
71,0.625,0.625,0.3779644730092272,0.11913812159256161,0.12070858779798302,59.5530368173042,16,1.0,1
72,0.5625,0.5625,0.2581988897471611,0.12818396066997295,0.12987278027052043,58.66370252974399,16,1.0,1
73,0.625,0.6507936507936507,0.32277655457716287,0.01919952428453559,0.06401848300918327,3.651160803750581,16,10.0,0.01
74,0.5,0.46031746031746035,-0.10087125544480041,0.016750749244955284,0.05614826373182379,3.636973412662243,16,1.0,0.01
75,0.5,0.5,0.0,0.055899188232563034,0.085495494175956,11.559666427872548,16,10.0,scale
76,0.6875,0.6875,0.3779644730092272,0.10865228193078684,0.11176245292430362,45.00142689846698,16,10.0,0.1
77,0.4375,0.4375,-0.16012815380508713,0.11185572820150468,0.11457990487160098,46.47713245407591,16,1.0,0.1
78,0.5625,0.5476190476190476,0.09759000729485331,0.11034737611821643,0.11341658706448217,47.006274720605866,16,1.0,0.1
79,0.5625,0.5476190476190476,0.09759000729485331,0.054454922667650896,0.09218590554161188,11.093326349067787,16,10.0,scale
80,0.5,0.5,0.0,0.12805120201721978,0.1303030782275235,58.22593262662335,16,1.0,1
81,0.5,0.5,0.0,0.11890800373688808,0.12217463451431454,48.12471062647822,16,1.0,0.1
82,0.375,0.375,-0.2581988897471611,0.024886729359445862,0.07443481579263254,3.501178358389337,16,1.0,0.01
83,0.6875,0.7222222222222222,0.5091750772173156,0.04130721748833985,0.06839385192292487,11.00017068268348,16,10.0,scale
84,0.625,0.6349206349206349,0.2698412698412698,0.03981072636553014,0.06653622617287848,11.099754522789572,16,10.0,scale
85,0.5,0.5,0.0,0.12260446786169053,0.12439003316673138,58.49895662032906,16,1.0,1
86,0.625,0.625,0.2581988897471611,0.11349510765881503,0.1159838240595054,45.572449773127516,16,1.0,0.1
87,0.5625,0.5625,0.16012815380508713,0.13090865760518045,0.13342633937941467,49.17141999835731,16,1.0,0.1
88,0.625,0.6349206349206349,0.2698412698412698,0.05017962121562545,0.08602915938548901,11.082536762069624,16,10.0,scale
89,0.5625,0.5476190476190476,0.09759000729485331,0.10857012790008082,0.11191092513515351,45.31829282864267,16,10.0,0.1
90,0.625,0.625,0.3779644730092272,0.12626342376955535,0.12754736373453487,58.802821196939675,16,1.0,1
91,0.5625,0.5625,0.2581988897471611,0.12549933968103247,0.12746379812436104,58.72668996757775,16,1.0,1
92,0.5625,0.5625,0.13483997249264842,0.1113872943149943,0.1144268079447166,48.07888605009292,16,1.0,0.1
93,0.4375,0.42063492063492064,-0.16265001215808886,0.0530117693197478,0.09016320526980746,10.846828465500561,16,1.0,scale
94,0.5625,0.5634920634920635,0.1259881576697424,0.050828990368228494,0.0871031631780781,10.92781138562998,16,10.0,scale
95,0.5625,0.5625,0.13483997249264842,0.1084699170215714,0.11152825709220734,46.129690900031015,16,1.0,0.1
96,0.625,0.625,0.2581988897471611,0.050027209868889345,0.075811648753098,11.41967554140674,16,10.0,scale
97,0.4375,0.4375,-0.1259881576697424,0.058439990610103625,0.0916864147275854,10.969409581621878,16,10.0,scale
98,0.5625,0.6111111111111112,0.3333333333333333,0.11480840365617791,0.1174177140700343,45.775361854418335,16,1.0,0.1
99,0.625,0.6031746031746031,0.22084711628963774,0.04235652219458316,0.07343683406023878,11.351030165458788,16,10.0,scale
