fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_degree,best_gamma,best_coef0
33,0.6875,0.6587301587301587,0.363696483726654,0.08782560661146195,0.08543274072502054,21.628773687220043,16,10.0,3,scale,0.0
34,0.5,0.4920634920634921,-0.015873015873015872,0.07528536443057894,0.09265182294310463,16.7669196724049,16,10.0,2,scale,0.0
35,0.625,0.625,0.2886751345948129,0.06725101442194532,0.07075333828828545,21.08709815573574,16,10.0,3,scale,0.0
36,0.4375,0.4375,-0.1259881576697424,0.015125076738730396,0.09336987380372715,22.67868335414278,16,1.0,3,0.1,1.0
37,0.5,0.5,0.0,0.07926141923398958,0.09833035808322427,16.392585131616134,16,1.0,2,scale,0.0
38,0.6875,0.6746031746031746,0.3578300267477955,0.022783874643363195,0.09007899608810183,22.020715016697594,16,0.1,3,0.1,0.0
39,0.5625,0.5634920634920635,0.1259881576697424,0.019618636264158475,0.08609843263633438,20.91860058731566,16,10.0,3,0.1,0.0
40,0.5,0.5,0.0,0.0030577512579709593,0.07316041277778479,11.24938183238991,16,10.0,3,scale,1.0
41,0.5625,0.5625,0.1259881576697424,0.009585373558134642,0.08328477045070265,14.674413358467918,16,1.0,2,0.1,1.0
42,0.5625,0.5625,0.1259881576697424,0.057644358840181875,0.07421358676326721,16.263744272872447,16,10.0,2,scale,0.0
43,0.5625,0.5634920634920635,0.1259881576697424,0.0006657144279068529,0.0809858583152721,17.775137127993446,16,1.0,2,1,1.0
44,0.5,0.5079365079365079,0.015873015873015872,0.008191268962325183,0.08658730104450216,16.430690061843073,16,0.1,2,1,1.0
45,0.5625,0.5625,0.1259881576697424,0.010612452661519957,0.0833765853635431,16.07628318733574,16,0.1,2,0.1,0.0
46,0.5625,0.5625,0.1259881576697424,0.015965888261636564,0.08969780529395875,16.759792303652794,16,1.0,2,0.1,0.0
47,0.4375,0.4375,-0.1259881576697424,0.06107021609984566,0.06474587609343203,21.216447472192012,16,10.0,3,scale,0.0
48,0.5625,0.5476190476190476,0.09759000729485331,0.03513542002490393,0.098046429850308,21.103182453206685,16,0.1,3,0.1,0.0
49,0.4375,0.4365079365079365,-0.1259881576697424,0.008158181404657553,0.08560488761617949,17.539665597138253,16,1.0,2,0.1,0.0
50,0.5625,0.5625,0.1259881576697424,0.010499277704614259,0.08060212102681595,20.822022968606408,16,10.0,3,0.1,0.0
51,0.5625,0.5625,0.1259881576697424,0.01648991781543741,0.0935278401690678,22.21279614346955,16,0.1,3,0.1,1.0
52,0.5625,0.5625,0.13483997249264842,0.016232873631946768,0.08971627473516294,24.617202578728854,16,0.1,3,0.1,0.0
53,0.625,0.6349206349206349,0.2698412698412698,0.013491308789799813,0.08828363387425113,15.702996271713886,16,1.0,2,0.1,0.0
54,0.4375,0.4365079365079365,-0.1259881576697424,0.0687134847140858,0.08429701946253408,16.861024578535755,16,1.0,2,scale,0.0
55,0.5,0.5,0.0,0.004405939412323351,0.08029979938697752,14.183287435359588,16,1.0,2,0.1,1.0
56,0.5625,0.5625,0.13483997249264842,0.01019617077815986,0.08871392926525284,16.866694128438326,16,0.1,2,1,0.0
57,0.5625,0.5625,0.13483997249264842,0.022742703146190483,0.08919318337424921,21.1226183333375,16,0.1,3,0.1,0.0
58,0.5625,0.5634920634920635,0.1259881576697424,0.0019686115806150117,0.08142554025869862,21.53395199027886,16,1.0,3,0.1,1.0
59,0.6875,0.6746031746031746,0.3578300267477955,0.0009116957505371434,0.07854418054948162,22.81658803817187,16,0.1,3,1,0.0
60,0.375,0.375,-0.2581988897471611,0.017145509606063238,0.09338907984734732,11.615232942632703,16,1.0,3,scale,1.0
61,0.5,0.5,0.0,0.001956425833071312,0.05770158559538136,6.372529906414604,16,10.0,2,scale,1.0
62,0.5625,0.5625,0.1259881576697424,0.009213622792824382,0.0853305561304274,16.949295627218415,16,1.0,2,1,0.0
63,0.5625,0.5476190476190476,0.09759000729485331,0.008848131551866145,0.08913267699935083,22.628664125893696,16,0.1,3,0.1,1.0
64,0.4375,0.40476190476190477,-0.21821789023599236,-0.0013724648669902369,0.07999167242245352,21.400547308201457,16,0.1,3,0.1,1.0
65,0.5,0.5,0.0,0.0801523692236128,0.09947811517717947,16.562836536034563,16,1.0,2,scale,0.0
66,0.625,0.625,0.2581988897471611,0.0010483729281610193,0.07482803856684357,16.969391485451926,16,0.1,2,0.1,0.0
67,0.5,0.5,0.0,0.07075013480872751,0.08544877174730926,15.774142138905036,16,10.0,2,scale,0.0
68,0.5625,0.5476190476190476,0.09759000729485331,-0.0023973791232387927,0.06814289708382837,11.642232004120183,16,10.0,3,scale,1.0
69,0.625,0.6031746031746031,0.22084711628963774,0.0691523892637226,0.07066452362186124,21.799162479882778,16,10.0,3,scale,0.0
70,0.625,0.625,0.2886751345948129,-0.0006488511410890129,0.07501519879802172,22.337816695513023,16,1.0,3,0.1,0.0
71,0.5625,0.5625,0.1259881576697424,0.015709155819156065,0.08871176120292322,16.220179317513676,16,1.0,2,0.1,0.0
72,0.6875,0.6875,0.3779644730092272,-0.0043726852858622075,0.07314133865162818,15.179684905185129,16,1.0,2,0.1,1.0
73,0.8125,0.8174603174603174,0.629940788348712,0.017417377317112417,0.08456739833566816,21.000423290132602,16,10.0,3,0.1,0.0
74,0.5,0.46031746031746035,-0.10087125544480041,-0.00547789320140203,0.06516551025784405,11.702952907116291,16,0.1,3,scale,1.0
75,0.4375,0.4375,-0.13483997249264842,0.009711263083109697,0.0865909165520149,17.238933522166505,16,1.0,2,0.1,0.0
76,0.8125,0.8125,0.674199862463242,0.08847542964848652,0.08773165122307836,21.539221836114415,16,10.0,3,scale,0.0
77,0.5,0.5,0.0,0.018061844086090073,0.09022861655629956,15.875221061828302,16,0.1,2,0.1,0.0
78,0.5,0.47619047619047616,-0.050964719143762556,0.07104552159736909,0.0721760532968863,21.530597324148832,16,1.0,3,scale,0.0
79,0.6875,0.6428571428571428,0.42857142857142855,0.020287221685203166,0.08776630763182937,21.77258488853524,16,0.1,3,0.1,0.0
80,0.625,0.625,0.2581988897471611,-0.0014625846344374742,0.06358143262514272,10.992504789923291,16,10.0,3,scale,1.0
81,0.4375,0.4375,-0.13483997249264842,0.01744829823236711,0.08894857135994902,22.44595271793412,16,0.1,3,1,0.0
82,0.625,0.625,0.2581988897471611,0.009651465202171682,0.07446860932884893,6.483382923398387,16,10.0,2,scale,1.0
83,0.625,0.6349206349206349,0.2698412698412698,0.06987733308761229,0.07213893632258189,20.77766679245274,16,10.0,3,scale,0.0
84,0.6875,0.6904761904761905,0.3779644730092272,-0.0020521436284889004,0.07143569304335352,20.65813543929672,16,0.1,3,1,0.0
85,0.5,0.5,0.0,-0.012523478493973849,0.06884585318036374,16.883938337015962,16,0.1,2,1,0.0
86,0.5,0.5,0.0,0.011207160925761387,0.07844159959207013,20.606830383048674,16,1.0,3,0.1,0.0
87,0.625,0.625,0.2886751345948129,0.004978488699655385,0.08059274894107273,21.583447468484778,16,1.0,3,0.1,0.0
88,0.625,0.6507936507936507,0.32277655457716287,0.02158852689999803,0.09378652261616076,16.270836602869757,16,1.0,2,0.1,0.0
89,0.6875,0.6904761904761905,0.3779644730092272,0.001019114415173537,0.07597713020648927,14.368107362426429,16,1.0,2,0.1,1.0
90,0.6875,0.6875,0.3779644730092272,-0.0014037159104878089,0.07288941903151731,20.69048551337412,16,0.1,3,1,0.0
91,0.625,0.625,0.25,-0.0071117367447000035,0.07186140065623699,22.53402796441677,16,1.0,3,0.1,0.0
92,0.4375,0.4375,-0.13483997249264842,0.015601180160924067,0.09065475965413997,16.890449624845235,16,0.1,2,0.1,0.0
93,0.3125,0.30952380952380953,-0.3779644730092272,0.02365712301232009,0.09821777518874558,16.09840675306958,16,0.1,2,0.1,0.0
94,0.625,0.6190476190476191,0.23809523809523808,0.012397772405633452,0.08606588454910137,11.41661317255121,16,10.0,3,scale,1.0
95,0.625,0.625,0.2581988897471611,-0.003757861754712241,0.07406086488547059,22.065272967680663,16,0.1,3,0.1,0.0
96,0.6875,0.6875,0.40451991747794525,-0.00026590305669860274,0.06686856769567552,11.859826811097829,16,10.0,3,scale,1.0
97,0.5,0.5,0.0,0.016419043784108536,0.08994905256745749,16.35905712240327,16,1.0,2,0.1,0.0
98,0.5,0.5238095238095238,0.050964719143762556,0.013624751903660963,0.09039007275621776,16.22984855849559,16,0.1,2,1,0.0
99,0.4375,0.42063492063492064,-0.16265001215808886,0.004767855321384429,0.08357981638204996,17.19300320339803,16,0.1,2,1,0.0
