fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C
49,0.36363636363636365,0.36363636363636365,-0.2727272727272727,-0.008488500192366697,0.03742685024358581,7.00336644183071,22,0.1
50,0.5,0.5125,0.025482359571881278,0.004361292898352304,0.047191191929589225,6.719421227436167,18,0.1
51,0.2222222222222222,0.2597402597402597,-0.5229975846277625,0.021580737719176856,0.060999815892885396,7.501512302890054,18,1.0
52,0.5833333333333334,0.5857142857142856,0.1690308509457033,-0.010650679482899439,0.023137316159750308,6.9032431335801965,12,10.0
53,0.42857142857142855,0.23076923076923078,-0.2773500981126146,-0.017081907854782738,0.019457630181221187,7.131425018186639,14,0.1
54,0.5,0.5,0.0,0.0030515129062174025,0.050316411265482947,7.292066144520995,18,1.0
55,0.5,0.5416666666666667,0.10050378152592121,0.0002601157628583895,0.04388671440656256,7.17275524291517,14,1.0
56,0.3333333333333333,0.35,-0.31622776601683794,0.006115450655862149,0.04664793053205873,7.149975584554943,9,0.1
57,0.375,0.5168067226890756,0.040996003084539386,0.03708981803428458,0.08291397854312801,7.3495305666561705,24,10.0
58,0.23809523809523808,0.5,0.0,-0.002750509753710274,0.018008034148863206,6.925474903205406,21,0.1
59,0.16666666666666666,0.2222222222222222,-0.5555555555555556,-0.004645739019647771,0.03893705044886698,6.999664768207356,12,10.0
60,0.4444444444444444,0.4444444444444444,-0.12403473458920847,-0.0065589431337222046,0.04334510834881349,6.99399000814839,18,0.1
61,0.5833333333333334,0.5833333333333334,0.19245008972987526,-0.005503601451283736,0.03535436364858206,7.099956161595449,12,0.1
62,0.26666666666666666,0.2777777777777778,-0.4444444444444444,0.008580169054725199,0.05350084184157147,7.436319658251497,15,0.1
63,0.47619047619047616,0.4636363636363636,-0.08528028654224416,-0.011913784673007943,0.03646607863794145,6.794893396253976,21,10.0
64,0.42857142857142855,0.42857142857142855,-0.14285714285714285,-0.0038171021731936345,0.03701568434898226,7.010851485387138,14,1.0
65,0.5238095238095238,0.5138888888888888,0.027777777777777776,-0.008637436952892994,0.04033199936957387,7.352201347993514,21,0.1
66,0.44,0.44155844155844154,-0.11613144917081457,-0.0055780492943327195,0.04292550881601982,7.308855547458589,25,0.1
67,0.5,0.4777777777777778,-0.04303314829119352,0.0029485747406811664,0.047423752925545015,6.78071787941372,14,0.1
68,0.5454545454545454,0.48214285714285715,-0.03857583749052298,-0.005991165259369954,0.03818550772009986,7.110985782131387,11,0.1
69,0.5555555555555556,0.5833333333333333,0.15811388300841897,0.008878621556223227,0.04622504493246138,7.047122860379704,9,1.0
70,0.4,0.40404040404040403,-0.1919191919191919,-0.0025349070421139958,0.04984312794270726,7.271151564153401,20,0.1
71,0.26666666666666666,0.26785714285714285,-0.4642857142857143,-0.01692410437451877,0.026672161980793103,6.888129756037229,15,0.1
72,0.2222222222222222,0.5,0.0,0.011162469096778526,0.043948207791668706,7.359412518517725,9,10.0
73,0.47368421052631576,0.4602272727272727,-0.07954545454545454,-0.0027262207753781967,0.04550861504288221,7.127810348450742,19,0.1
74,0.35294117647058826,0.40714285714285714,-0.2397561119080782,0.008440360178646663,0.053480670806405846,6.959430779882772,17,1.0
75,0.375,0.4,-0.2,0.0129356567469443,0.058996254814496246,7.332594957369188,16,0.1
76,0.375,0.38095238095238093,-0.23809523809523808,-0.009606694797886778,0.035544802123242986,6.872834440965471,16,10.0
77,0.4,0.3839285714285714,-0.2618924633082486,0.005301508676338126,0.04624602895765458,7.154157039083773,15,0.1
78,0.5333333333333333,0.6000000000000001,0.2,-0.0115810568809293,0.03495955545475984,7.14106008499275,15,0.1
79,0.4444444444444444,0.4375,-0.125,-0.012829869831888717,0.03473818173445827,7.116789240005192,18,0.1
80,0.5454545454545454,0.5454545454545454,0.10846522890932808,-0.013514707524542055,0.03216733640384899,7.038783363498468,22,1.0
81,0.47368421052631576,0.575,0.1267731382092775,0.023960802756509133,0.05201429868419103,7.053373108079215,19,10.0
82,0.3,0.5625,0.16666666666666666,-0.011074777540399372,0.031001430330435596,7.142249581800637,10,0.1
83,0.2,0.16666666666666666,-0.6666666666666666,0.004113007735903586,0.04539013367338531,7.247079705082398,10,1.0
84,0.47368421052631576,0.5705128205128205,0.14886628953921086,0.002303058796054885,0.04842701434591705,7.129792437484444,19,1.0
85,0.38461538461538464,0.3875,-0.21957751641341997,0.009059016750415996,0.054046944763519796,7.083354814590961,13,1.0
86,0.4782608695652174,0.5119047619047619,0.02439750182371333,0.00027211811120709633,0.052255968019300617,7.120121161785772,23,0.1
87,0.21428571428571427,0.25757575757575757,-0.4403855060505443,-0.0025549401258700985,0.037766981526858014,6.905917257037113,14,10.0
88,0.4,0.4722222222222222,-0.08006407690254358,0.0020786479460335105,0.037844413641963184,7.4222523068232515,15,0.1
89,0.6,0.5681818181818181,0.12309149097933272,-0.012482783729625163,0.0334532088294068,7.203888712634146,15,1.0
90,0.5294117647058824,0.55,0.09128709291752769,-0.00781361841404226,0.045289791411614516,6.991419519783217,17,0.1
91,0.3684210526315789,0.35119047619047616,-0.2875273163926476,0.013803410324838571,0.06389556317341952,7.046206911185364,19,0.1
92,0.5,0.5,0.0,-0.009843017961883312,0.03131739171153358,7.354183857479739,10,0.1
93,0.5833333333333334,0.5571428571428572,0.11952286093343936,0.003389890556111001,0.045589950067706025,7.1056662817445595,12,10.0
94,0.5454545454545454,0.5454545454545454,0.09245003270420485,-0.017291389451459742,0.032273947938087376,7.219515725016781,22,0.1
95,0.375,0.375,-0.2886751345948129,0.011324485345882847,0.05737061870589768,7.337010583680857,16,1.0
96,0.4444444444444444,0.45,-0.1,0.0009004437908668845,0.048371858222700646,7.442146863809792,18,1.0
97,0.4,0.625,0.25,-0.008016984031560724,0.03296729562763779,7.21901886441374,10,0.1
98,0.48148148148148145,0.5340909090909092,0.08058229640253803,-0.006972136044908157,0.034430025640322964,6.785960982768053,27,0.1
99,0.6666666666666666,0.65,0.31622776601683794,0.0022390637174886075,0.04284134368811626,7.032685770864363,9,0.1
