fold,best_reps,best_bandwidth,best_C,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test
23,1,0.05,10.0,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.07133137915038198,0.08400191822986872,22.80017830841457,14
24,1,0.05,0.1,0.2857142857142857,0.5,0.0,0.06962935398939672,0.08525740514662099,23.371684158610766,14
25,2,0.5,10.0,0.3333333333333333,0.5,0.0,0.11887241823942368,0.11918557628969281,66.3857307989614,9
26,1,0.05,10.0,0.3888888888888889,0.2692307692307692,-0.43852900965351455,0.09243549144508419,0.10844708359314331,23.610947643014185,18
27,1,0.05,0.1,0.4444444444444444,0.5,0.0,0.08889940877131486,0.09990869747709782,23.840042223220237,18
28,1,0.5,10.0,0.47368421052631576,0.4642857142857143,-0.06900655593423542,0.12867561342270445,0.1300111651519801,60.116136336426585,19
29,2,0.05,10.0,0.5625,0.5833333333333333,0.16265001215808886,0.11035291347642859,0.11102893108420978,34.3963449930672,16
30,1,0.05,10.0,0.5,0.45833333333333337,-0.08058229640253803,0.0740987520761996,0.08807539300660126,25.713848700340368,18
31,2,0.05,10.0,0.4444444444444444,0.41666666666666663,-0.15811388300841897,0.09114932370328013,0.09653905291267018,34.33670081611811,9
32,1,0.1,10.0,0.35714285714285715,0.3333333333333333,-0.34426518632954817,0.12622253944353007,0.1285155537223362,49.86755707972057,14
33,2,0.5,1.0,0.6,0.625,0.25,0.13259928708268692,0.13422114654204803,59.124464584329445,20
34,1,0.2,10.0,0.3157894736842105,0.42857142857142855,-0.3086066999241838,0.13103145583568135,0.1319828158277525,55.094382975945756,19
35,1,0.1,10.0,0.47058823529411764,0.4,-0.3055050463303894,0.1228367407417436,0.1254267800960048,49.96129370925917,17
36,2,0.1,1.0,0.5,0.42857142857142855,-0.2548235957188128,0.12283807673016982,0.1250072801538047,55.36683533581288,12
37,1,0.5,1.0,0.6153846153846154,0.5833333333333333,0.15811388300841897,0.12306701380388237,0.12425646613449441,66.07797932432199,13
38,2,0.5,1.0,0.5555555555555556,0.525,0.05976143046671968,0.12678518839835462,0.1280220263705012,57.887808803055826,18
39,1,0.05,1.0,0.25,0.369047619047619,-0.3361227822436775,0.11709569575260931,0.0995705521216828,23.476439322543825,20
40,2,0.05,10.0,0.5,0.5476190476190476,0.0890870806374748,0.09204493908796339,0.10173231209671137,35.37274688668074,10
41,2,0.05,1.0,0.2631578947368421,0.3269230769230769,-0.36539907432351754,0.11782681143761578,0.11363725052464922,30.989944693634452,19
42,2,0.05,1.0,0.5,0.5666666666666667,0.14907119849998599,0.10063910551448817,0.10526449975688583,33.60844939745611,16
43,1,0.1,10.0,0.47368421052631576,0.5785714285714286,0.14886628953921086,0.13047821200093693,0.13236347557468367,48.09364770957886,19
44,2,0.2,10.0,0.625,0.5714285714285714,0.29277002188455997,0.12406769683417102,0.12642932564965975,56.409222937881275,16
45,1,0.05,10.0,0.6666666666666666,0.625,0.25,0.06405469726410767,0.07647286490446964,25.174159047605997,6
46,2,0.05,10.0,0.45454545454545453,0.4857142857142857,-0.02706659809803834,0.12046154453910903,0.11870677968298207,29.46544760449838,22
47,1,0.2,10.0,0.6153846153846154,0.5375,0.10112997936948631,0.12541882910562968,0.12714621077182608,57.45417806575602,13
48,2,0.2,10.0,0.7058823529411765,0.7916666666666667,0.5400617248673217,0.1288605442188524,0.1297685365699133,59.000828120491065,17
49,1,0.05,10.0,0.4090909090909091,0.40909090909090906,-0.18257418583505536,0.08994438786443111,0.09697386585369804,24.026283149423893,22
50,1,0.1,10.0,0.5,0.55,0.21693045781865616,0.12999622875866915,0.1324007131109179,46.63136339417689,18
51,1,0.05,10.0,0.4444444444444444,0.4935064935064935,-0.01413506985480439,0.09828927814777016,0.09861356454815136,26.40801531314437,18
52,1,0.2,10.0,0.4166666666666667,0.5,0.0,0.12357809910050523,0.12559820703906813,58.38988265473941,12
53,2,0.2,10.0,0.07142857142857142,0.5,0.0,0.12814712801558087,0.12743261980711507,61.56799543713606,14
54,2,0.2,1.0,0.5,0.5,0.0,0.1271623968971275,0.12889789099717744,56.66117434783583,18
55,1,0.2,10.0,0.42857142857142855,0.5,0.0,0.12830669893753682,0.13112738094663404,59.56856685981133,14
56,2,0.5,10.0,0.3333333333333333,0.3,-0.47809144373375745,0.11875033202906113,0.11979458934798054,66.87469628350998,9
57,2,0.05,1.0,0.2916666666666667,0.3319327731092437,-0.3241018617760822,0.13537919034155863,0.14203378006318693,34.84250688493663,24
58,1,0.2,10.0,0.23809523809523808,0.5,0.0,0.13045154659363695,0.1319265788779328,50.785629052834594,21
59,1,0.05,10.0,0.4166666666666667,0.2777777777777778,-0.408248290463863,0.07146100897026426,0.08740014717625988,23.48994750479594,12
60,2,0.05,1.0,0.6111111111111112,0.6111111111111112,0.2357022603955158,0.10388253735761957,0.11357935599045746,32.641794855812506,18
61,1,0.2,10.0,0.4166666666666667,0.4166666666666667,-0.30151134457776363,0.12440348723128504,0.12621177484932497,58.45096433727534,12
62,1,0.2,1.0,0.6666666666666666,0.5833333333333334,0.32732683535398854,0.12112800145895225,0.12268192880936342,57.46644979092028,15
63,1,0.5,1.0,0.5238095238095238,0.5,0.0,0.13124159321819376,0.13303430668060115,58.11205246228744,21
64,1,0.2,10.0,0.5,0.5,0.0,0.12468156866069194,0.12667635372565494,56.44914778725314,14
65,2,0.5,0.1,0.5714285714285714,0.5,0.0,0.13282989199283252,0.13438607711447498,58.260575721389756,21
66,1,0.05,10.0,0.44,0.48051948051948057,-0.05275349613399974,0.09826460308042143,0.09918679864381562,24.920371252795146,25
67,1,0.1,1.0,0.2857142857142857,0.3555555555555555,-0.3373495424699933,0.12641430209268023,0.12893554217835465,50.0565700606919,14
68,1,0.2,10.0,0.8181818181818182,0.75,0.6236095644623235,0.12188337824860047,0.12350363680968116,59.64009487321155,11
69,2,0.5,10.0,0.3333333333333333,0.5,0.0,0.11836645395102692,0.11861109063306728,66.37196535790491,9
70,1,0.5,10.0,0.6,0.5555555555555556,0.25362863675089403,0.1297519985189621,0.13147575263328695,59.11078369315392,20
71,1,0.1,1.0,0.5333333333333333,0.5089285714285714,0.026207120918047958,0.12498351086943855,0.1271707637618587,50.20852505114449,15
72,2,0.05,10.0,0.5555555555555556,0.7142857142857143,0.3779644730092272,0.10056598272361,0.09990134537455271,36.21451111940364,9
73,2,0.2,10.0,0.47368421052631576,0.5113636363636364,0.025482359571881278,0.13010208091891748,0.1319957387460309,55.662782164650025,19
74,2,0.05,10.0,0.47058823529411764,0.44285714285714284,-0.11769797726729993,0.09724794092504994,0.10776724161659272,32.45916860797733,17
75,1,0.05,1.0,0.4375,0.4833333333333333,-0.034815531191139566,0.077997575832651,0.09252899350528308,25.22708820920524,16
76,2,0.05,10.0,0.3125,0.30952380952380953,-0.3779644730092272,0.09655037029326209,0.10768312251544769,31.823231395131053,16
77,1,0.05,10.0,0.4666666666666667,0.4732142857142857,-0.05455447255899809,0.0829073434029108,0.09257770292196553,25.227562158550707,15
78,2,0.05,10.0,0.6666666666666666,0.75,0.5,0.09025930290039436,0.09621799116447219,32.629720023443625,15
79,1,0.1,10.0,0.5,0.475,-0.05547001962252291,0.1276036999036662,0.13028903444476184,49.239303466600816,18
80,2,0.2,10.0,0.4090909090909091,0.4090909090909091,-0.31622776601683794,0.13380584625276362,0.13652613025665664,54.908863061629944,22
81,2,0.05,10.0,0.5789473684210527,0.7333333333333334,0.3944053188733077,0.11683761573418809,0.11030129114316398,30.521312010345547,19
