fold,best_representation,best_reps,best_bandwidth,best_C,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test
45,mean_z,1,0.2,1,0.8228084415584416,1.0,1.0,1.0,0.09366254864689028,0.3038480094401454,2.892510858790783,74,6
46,mean_z,1,0.1,10,0.7746527777777779,0.8636363636363636,0.9,0.7483314773547882,0.07548316963048726,0.27381729023568446,1.4417697717763718,58,22
47,mean_z,1,0.1,10,0.8340309200603317,0.8461538461538461,0.8375,0.675,0.031365297596009,0.3462697752685259,1.3962309981950356,67,13
48,mean_z,1,0.2,1,0.8792613636363635,0.8235294117647058,0.8166666666666667,0.6038596398555418,0.11486126233687817,0.3563705211261487,3.030003488845667,63,17
49,mean_z,1,0.1,10,0.8633928571428573,0.7727272727272727,0.7727272727272727,0.5477225575051661,0.039706881949884615,0.36408290641734864,1.400206937687887,58,22
50,mean_z,1,0.1,10,0.8050886613386613,0.8333333333333334,0.8375,0.6708203932499369,0.04696599926310595,0.3626081827266966,1.431128928641812,62,18
51,mean_z,1,0.2,10,0.8919552669552671,0.8333333333333334,0.7857142857142857,0.6700593942604899,0.1242224176778726,0.34596069093253706,2.826573657115818,62,18
52,mean_z,1,0.1,10,0.8408945221445222,0.8333333333333334,0.8571428571428572,0.7142857142857143,0.035251405540492727,0.28416815702826065,1.4083962176128233,68,12
53,mean_z,1,0.2,1,0.8334967320261437,0.8571428571428571,0.46153846153846156,-0.07692307692307693,0.09504490691878752,0.2826970852996457,2.989066168347653,66,14
54,mean_z,1,0.2,1,0.873015873015873,0.8333333333333334,0.8333333333333333,0.6708203932499369,0.13528777182363466,0.3533443632842659,3.2443933501702658,62,18
55,mean_z,1,0.1,10,0.8151942355889725,0.7857142857142857,0.7708333333333333,0.5594309277855158,0.03587508485082738,0.3041201196179345,1.388614650273452,66,14
56,mean_z,1,0.2,10,0.873146645021645,0.8888888888888888,0.9,0.8,0.11354464823264611,0.3212079571802261,3.217657695804333,71,9
57,mean_z,2,0.05,10,0.746031746031746,0.7916666666666666,0.8109243697478992,0.5733162099493055,0.019539830924966785,0.3490214717711302,1.1014131958992572,56,24
58,mean_z,1,0.2,1,0.7897467320261438,0.7619047619047619,0.775,0.4823819106188661,0.17933248805067123,0.34368036373414146,2.836719477485302,59,21
59,mean_z,1,0.2,1,0.8357638888888889,0.9166666666666666,0.9444444444444444,0.816496580927726,0.09485341065875835,0.3043765699330349,2.9797031225689956,68,12
60,mean_z,1,0.1,10,0.7899080086580086,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.039318791720735276,0.35236951006723816,1.4132249879894692,62,18
61,mean_z,1,0.2,1,0.8116026334776335,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.12313654639937677,0.35650797670489354,3.031595207852799,68,12
62,mean_z,1,0.2,10,0.8769230769230769,0.8666666666666667,0.8888888888888888,0.7637626158259733,0.10334396483153492,0.3305041291413749,2.9100073281280627,65,15
63,mean_z,1,0.05,10,0.814484126984127,0.8095238095238095,0.8045454545454545,0.6264144833056663,0.010043581077494014,0.2962780080939908,1.099920008266526,59,21
64,mean_z,1,0.2,10,0.8395202020202019,0.8571428571428571,0.8571428571428572,0.7453559924999299,0.11038913340169004,0.31957052710316286,3.0801494435189114,66,14
65,mean_z,1,0.1,10,0.810042735042735,0.8095238095238095,0.8055555555555556,0.6111111111111112,0.031243657568437826,0.34027619043268775,1.3954438907658733,59,21
66,mean_z,1,0.2,10,0.8294146825396825,0.92,0.9188311688311688,0.8376623376623377,0.1104474833428345,0.26569266071119924,3.151687405571613,55,25
67,mean_z,1,0.1,10,0.8914141414141414,0.7142857142857143,0.6444444444444444,0.3373495424699933,0.030956492987443622,0.3299511764336927,1.4242999769589184,66,14
68,mean_z,1,0.2,10,0.8801320207570208,1.0,1.0,1.0,0.10269053562803737,0.3084298135615599,3.1274383623690354,69,11
69,mean_z,1,0.1,10,0.8500744047619047,0.5555555555555556,0.5833333333333333,0.15811388300841897,0.046353962799698875,0.4013057302739001,1.3715141295730673,71,9
70,mean_z,1,0.2,10,0.885551948051948,0.9,0.898989898989899,0.797979797979798,0.11586141474499204,0.34660263676721326,3.0803130474878366,60,20
71,mean_z,1,0.1,10,0.9059586247086246,0.7333333333333333,0.7232142857142857,0.472455591261534,0.03579805685958895,0.355729047736845,1.4020098154243952,65,15
