fold,best_representation,best_reps,best_bandwidth,best_C,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test
41,mean_z,1,0.1,10,0.814484126984127,0.875,0.875,0.7745966692414834,0.032449870019779656,0.27441697240622703,1.4386220719601386,64,16
42,mean_z,1,0.2,10,0.8740079365079365,0.8125,0.8125,0.629940788348712,0.1120680025045955,0.3222605155201446,3.027621211141705,64,16
43,mean_z,1,0.05,10,0.8472222222222222,0.875,0.8888888888888888,0.7777777777777778,0.007915607193059806,0.3392467480799144,1.0820617797440002,64,16
44,mean_z,2,0.1,10,0.8722718253968254,0.75,0.746031746031746,0.49206349206349204,0.034895215509088535,0.41551724466871326,1.384093522685596,64,16
45,mean_z,1,0.2,10,0.8628472222222223,0.9375,0.9375,0.8819171036881969,0.1059040579149516,0.3133946391960388,2.9751453270027457,64,16
46,mean_z,1,0.05,10,0.8802083333333333,0.8125,0.8125,0.674199862463242,0.013578337234531945,0.37475094513084456,1.097672287116356,64,16
47,mean_z,1,0.2,10,0.8306051587301586,0.8125,0.8125,0.629940788348712,0.12082049130374853,0.3454384222839706,3.0680063500591577,64,16
48,mean_z,1,0.1,10,0.8311011904761905,0.8125,0.8015873015873016,0.6180700462007377,0.033647618669932704,0.3552117349025536,1.39335203894705,64,16
49,mean_z,1,0.1,10,0.8137400793650793,0.9375,0.9444444444444444,0.8819171036881969,0.02591448846714328,0.27600804569246246,1.3952242074862595,64,16
50,mean_z,2,0.2,10,0.8288690476190476,1.0,1.0,1.0,0.06654019692166335,0.2677410372494804,2.7105994122387433,64,16
51,mean_z,1,0.1,10,0.8539186507936508,0.75,0.75,0.5163977794943222,0.03788233191147831,0.36492280796209786,1.3933056928713086,64,16
52,mean_z,1,0.1,10,0.8067956349206349,0.8125,0.8125,0.629940788348712,0.037328861970715776,0.3622620575699729,1.3933742283690975,64,16
53,mean_z,1,0.1,10,0.8311011904761905,0.9375,0.9285714285714286,0.8783100656536799,0.026297790546726103,0.2674335277825623,1.4071297285426698,64,16
54,mean_z,1,0.1,10,0.8606150793650793,0.75,0.7619047619047619,0.5238095238095238,0.03175865707915369,0.3480654716281579,1.3893738746569106,64,16
55,mean_z,1,0.1,10,0.8348214285714286,0.875,0.875,0.7745966692414834,0.03411299518946365,0.2870321727580301,1.4424309540990263,64,16
56,mean_z,2,0.1,10,0.9196428571428572,0.625,0.625,0.25,0.03632166421387939,0.4313561500896075,1.3507714597377447,64,16
57,mean_z,1,0.1,10,0.820436507936508,0.875,0.875,0.7745966692414834,0.03976436733005283,0.36567921201264647,1.4068897307602324,64,16
58,mean_z,2,0.1,10,0.8740079365079365,0.75,0.746031746031746,0.49206349206349204,0.02212691857770067,0.29629165001084484,1.3462113107273064,64,16
59,mean_z,1,0.2,10,0.8583829365079365,0.875,0.873015873015873,0.746031746031746,0.0940239368385675,0.28755544578249526,3.0313228608171054,64,16
60,mean_z,2,0.1,10,0.8506944444444444,0.875,0.875,0.7745966692414834,0.029932210702625164,0.31626503343124696,1.3838832917624186,64,16
61,mean_z,1,0.2,10,0.7971230158730159,0.9375,0.9375,0.8819171036881969,0.10958794876682922,0.3003278036746435,3.1871799971423562,64,16
62,mean_z,1,0.2,10,0.8226686507936508,0.8125,0.8125,0.629940788348712,0.12177272919292492,0.37577144092531045,2.8592355288875657,64,16
63,mean_z,1,0.2,1,0.8878968253968254,0.75,0.746031746031746,0.49206349206349204,0.11232997490453066,0.3680335932515894,2.8443850213539776,64,16
64,mean_z,2,0.1,10,0.8745039682539683,0.75,0.7619047619047619,0.5238095238095238,0.024886701915861616,0.2902956202618652,1.3933748359028473,64,16
65,mean_z,2,0.1,10,0.8368055555555555,0.6875,0.6875,0.3779644730092272,0.03405637448953224,0.37866391899962026,1.3735039910426976,64,16
66,mean_z,1,0.2,10,0.8132440476190476,0.75,0.75,0.5163977794943222,0.09816265041955927,0.2788670996157198,3.108782656760634,64,16
67,mean_z,1,0.1,10,0.8623511904761905,0.875,0.875,0.7745966692414834,0.03781831539537049,0.36484777421320547,1.3935044026534102,64,16
68,mean_z,2,0.1,10,0.8415178571428572,0.875,0.873015873015873,0.746031746031746,0.026135548594716545,0.3097795783225503,1.3820573931999056,64,16
69,mean_z,2,0.2,10,0.890625,0.6875,0.6904761904761905,0.3779644730092272,0.0599490845153806,0.272787614868356,2.588081352049183,64,16
70,mean_z,1,0.2,10,0.8534226190476191,0.8125,0.8125,0.629940788348712,0.11609898750071823,0.3349716985136637,3.066674851521828,64,16
71,mean_z,1,0.1,10,0.8539186507936508,0.9375,0.9375,0.8819171036881969,0.03559471331762413,0.3423965303537394,1.389676973685632,64,16
72,mean_z,1,0.1,10,0.8663194444444444,0.8125,0.8125,0.629940788348712,0.03744686034825601,0.3341772712308048,1.4273620848196682,64,16
73,mean_z,1,0.2,10,0.8611111111111112,0.875,0.8571428571428572,0.7644707871564383,0.10077072648589061,0.31479614717630783,2.966852756693194,64,16
74,mean_z,1,0.2,1,0.8276289682539683,0.8125,0.8333333333333333,0.6831300510639732,0.10128778828195364,0.31447618573006486,2.992899642509516,64,16
75,mean_z,1,0.2,1,0.8226686507936508,0.75,0.75,0.5163977794943222,0.14354159844647071,0.3665301046608754,3.3528478736464824,64,16
76,mean_z,1,0.1,10,0.9092261904761905,0.625,0.625,0.2581988897471611,0.0371993517884215,0.3895381528286647,1.3682103142635487,64,16
77,mean_z,1,0.1,10,0.8110119047619047,0.875,0.875,0.75,0.032925542566181035,0.3196388319714146,1.3789067196272116,64,16
78,mean_z,1,0.1,10,0.8449900793650793,0.9375,0.9444444444444444,0.8819171036881969,0.02740576766280497,0.283659602681337,1.4192606841393258,64,16
79,mean_z,1,0.2,1,0.8645833333333333,0.875,0.8888888888888888,0.7777777777777778,0.10410445516687651,0.3073863562623053,3.030989888277251,64,16
80,mean_z,1,0.05,10,0.8293650793650793,0.75,0.75,0.5773502691896258,0.012734997867006912,0.3481261668686888,1.0975737307203086,64,16
81,mean_z,1,0.2,1,0.8132440476190477,0.8125,0.8125,0.629940788348712,0.10917709797851644,0.3331478271645913,2.861456676703866,64,16
82,mean_z,1,0.1,10,0.7998511904761905,1.0,1.0,1.0,0.02823240333986255,0.2780243362559629,1.376264983676624,64,16
83,mean_z,1,0.2,10,0.90625,0.6875,0.7063492063492063,0.42289003161103106,0.12915582037189338,0.381405030959396,3.079247631577124,64,16
84,mean_z,1,0.1,10,0.8454861111111112,0.875,0.8571428571428572,0.7644707871564383,0.03165842566459171,0.3288756611297387,1.4105056492233945,64,16
85,mean_z,1,0.2,10,0.8231646825396826,0.875,0.875,0.75,0.10929098122967763,0.3080375832568945,3.014513051977154,64,16
86,mean_z,1,0.2,1,0.8740079365079365,0.6875,0.6875,0.48038446141526137,0.12883608435065627,0.38156781339659046,2.980615625135898,64,16
87,mean_z,1,0.2,1,0.8484623015873016,0.75,0.75,0.5,0.11140961914342133,0.3472022272433823,2.909210975835346,64,16
88,mean_z,1,0.1,1,0.8249007936507937,0.9375,0.9444444444444444,0.8819171036881969,0.029989299969875358,0.30421033204523623,1.4159225983959716,64,16
89,mean_z,2,0.05,10,0.8623511904761905,0.8125,0.8174603174603174,0.629940788348712,0.00845825855472551,0.31345390741574697,1.0955565136858028,64,16
90,mean_z,1,0.1,10,0.8578869047619047,0.8125,0.8125,0.674199862463242,0.03863433261539447,0.36131529107081567,1.4013011982550254,64,16
91,mean_z,1,0.2,10,0.8561507936507937,0.875,0.875,0.75,0.10442242153140054,0.3192188329838104,2.8701452129760283,64,16
92,mean_z,1,0.1,10,0.8033234126984127,0.875,0.875,0.75,0.029006772780469606,0.28179573941948405,1.3904776278057716,64,16
93,mean_z,1,0.1,10,0.8745039682539683,0.6875,0.7063492063492063,0.42289003161103106,0.039256297181821505,0.3808924070363019,1.4274771323917403,64,16
94,mean_z,1,0.1,10,0.8432539682539683,0.9375,0.9444444444444444,0.8819171036881969,0.031953193518134804,0.32253267278743986,1.418801816800737,64,16
95,mean_z,1,0.2,10,0.8722718253968254,0.75,0.75,0.5,0.09577717228673913,0.27004267372421153,3.1834821282455,64,16
96,mean_z,1,0.1,10,0.8422619047619049,0.875,0.875,0.7745966692414834,0.036699957734373526,0.35401970519383275,1.3920514623799034,64,16
97,mean_z,1,0.1,10,0.8266369047619047,0.9375,0.9375,0.8819171036881969,0.033503963516819724,0.3130216249024159,1.3944331462869335,64,16
98,mean_z,1,0.1,10,0.8588789682539683,0.875,0.8888888888888888,0.7777777777777778,0.034202298188334354,0.3572981955734094,1.4006316010982107,64,16
99,mean_z,1,0.1,10,0.8628472222222222,0.8125,0.8015873015873016,0.6180700462007377,0.035105341194292726,0.3882172547763398,1.3808133126297535,64,16
