fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_gamma
39,mean_z,0.7338564213564214,0.65,0.75,0.48038446141526137,0.20099865111568913,0.2569399744245373,7.503366318348675,60,20,10,0.1
40,mean_z,0.8333333333333333,0.9,0.9285714285714286,0.8017837257372732,0.031529065594214985,0.35072767534582866,1.3930344443230296,70,10,10,0.01
41,mean_z,0.8531250000000001,0.9473684210526315,0.9615384615384616,0.8894991799933215,0.05523137100922953,0.2560451182665855,1.3733288463547146,61,19,10,0.01
42,mean_z,0.8569444444444444,0.8125,0.7833333333333333,0.5918640302493726,0.2016688161934118,0.2927651208586335,8.194098311037603,64,16,1,scale
43,mean_z,0.8586309523809523,0.7894736842105263,0.7285714285714285,0.45714285714285713,0.03402885469690732,0.31882087338397885,1.4058048698760972,61,19,10,0.01
44,mean_z,0.8726762820512821,0.8125,0.8174603174603174,0.629940788348712,0.19430045363740533,0.32236143745306456,8.048716752956551,64,16,1,scale
45,mean_z,0.7928436147186148,1.0,1.0,1.0,0.1544825452076435,0.2608100538127974,8.234123332174436,74,6,1,scale
46,mean_z,0.746875,0.9090909090909091,0.9333333333333333,0.821020142307163,0.0745640365035884,0.27349427513168073,1.4336156367155195,58,22,10,0.01
47,mean_z,0.8266779788838612,0.8461538461538461,0.8375,0.675,0.030611952109777418,0.3468318267119849,1.3895956951983017,67,13,10,0.01
48,mean_z,0.868641774891775,0.7647058823529411,0.775,0.5092010548749033,0.18113443210295485,0.3081866987906687,8.280502232060607,63,17,10,scale
49,mean_z,0.8633928571428573,0.7727272727272727,0.7727272727272727,0.5477225575051661,0.03869828053752162,0.3641763964275185,1.3929538837621054,58,22,10,0.01
50,mean_z,0.793725024975025,0.8333333333333334,0.85,0.7135060680126758,0.04589988449530237,0.36249828607393814,1.423261153435413,62,18,10,0.01
51,mean_z,0.8560380591630592,0.8333333333333334,0.7857142857142857,0.6700593942604899,0.19453981674401807,0.2929736839315918,8.04502502017668,62,18,1,scale
52,mean_z,0.8347513597513596,0.8333333333333334,0.8571428571428572,0.7142857142857143,0.1587291806251756,0.26075029839844494,7.425900920488441,68,12,1,scale
53,mean_z,0.8071078431372549,0.8571428571428571,0.46153846153846156,-0.07692307692307693,0.1459158591603294,0.24783425661825934,8.334530168816892,66,14,1,scale
54,mean_z,0.855828373015873,0.8333333333333334,0.8333333333333333,0.6708203932499369,0.19734276722523314,0.3098272276100151,7.734731495517598,62,18,10,scale
55,mean_z,0.8217731829573935,0.7857142857142857,0.7708333333333333,0.5594309277855158,0.03517761103662164,0.3044623808643388,1.3820169167700886,66,14,10,0.01
56,mean_z,0.8627299783549784,0.8888888888888888,0.875,0.7905694150420948,0.033592938105218254,0.3367740039985141,1.4127115827757117,71,9,10,0.01
57,mean_z,0.7043650793650794,0.8333333333333334,0.8403361344537814,0.6390644422470537,0.04324588454516429,0.34612279095468107,1.4455135141020994,56,24,10,0.01
58,mean_z,0.7786356209150327,0.7619047619047619,0.775,0.4823819106188661,0.24382110354504363,0.2947142560224443,7.63431708434266,59,21,1,scale
59,mean_z,0.821875,0.9166666666666666,0.9444444444444444,0.816496580927726,0.027240140006871347,0.3144518632651402,1.3788333728366708,68,12,10,0.01
60,mean_z,0.7899080086580086,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.038425508189019186,0.35291959813120727,1.4059722044192813,62,18,10,0.01
61,mean_z,0.8002389971139972,0.6666666666666666,0.6666666666666667,0.3535533905932738,0.03732915469702045,0.3672731905576323,1.390920589204346,68,12,1,0.01
62,mean_z,0.8574519230769231,0.8666666666666667,0.8888888888888888,0.7637626158259733,0.16602030643881596,0.30256850289260145,6.926210826422697,65,15,1,0.1
63,mean_z,0.7728174603174602,0.8095238095238095,0.8045454545454545,0.6264144833056663,0.030666804439639542,0.29290398632244086,1.42935490681368,59,21,1,0.01
64,mean_z,0.7970012626262626,0.7142857142857143,0.7142857142857143,0.5222329678670935,0.16327264899917326,0.2740547256501446,7.572972599636186,66,14,1,scale
65,mean_z,0.823931623931624,0.8095238095238095,0.8055555555555556,0.6111111111111112,0.030458452076097896,0.34070307489187596,1.3886686148478251,59,21,10,0.01
66,mean_z,0.8004464285714286,0.92,0.9188311688311688,0.8376623376623377,0.042581348503104736,0.27812709098018845,1.3987554693385533,55,25,10,0.01
67,mean_z,0.8914141414141414,0.6428571428571429,0.5888888888888889,0.18856180831641267,0.03018663159286574,0.3305579124765553,1.416755962074062,66,14,10,0.01
68,mean_z,0.8576198107448108,0.9090909090909091,0.9285714285714286,0.8280786712108251,0.029479731643091738,0.32046069804713234,1.4018302817886525,69,11,10,0.01
69,mean_z,0.8695436507936507,0.7777777777777778,0.75,0.5,0.19690670866830487,0.3356165542661886,6.592423945223704,71,9,1,0.1
70,mean_z,0.8141233766233766,0.75,0.7323232323232323,0.5044296328024895,0.034180687001146945,0.36213392794803595,1.395046301024504,60,20,10,0.01
71,mean_z,0.9059586247086246,0.7333333333333333,0.7232142857142857,0.472455591261534,0.03484116028081498,0.3554562066444015,1.3949539090670955,65,15,10,0.01
72,mean_z,0.8015873015873016,0.6666666666666666,0.7857142857142857,0.47809144373375745,0.163674210512857,0.24604933400300136,8.22748692919654,71,9,10,scale
73,mean_z,0.8569444444444445,0.7894736842105263,0.7840909090909092,0.5681818181818182,0.03381786104841988,0.3410402374889408,1.4393105294553021,61,19,10,0.01
74,mean_z,0.8647727272727272,0.7647058823529411,0.8,0.6179143806533246,0.03175471018704665,0.3431771158411561,1.4037696808341145,63,17,10,0.01
75,mean_z,0.8553977272727273,0.75,0.7666666666666666,0.5163977794943222,0.18156551808542687,0.3051393775638747,8.023716273562838,64,16,10,scale
76,mean_z,0.794724025974026,0.8125,0.7857142857142857,0.6546536707079771,0.029696858601433798,0.31846978336244713,1.3909425103567632,64,16,1,0.01
77,mean_z,0.8202380952380951,0.9333333333333333,0.9285714285714286,0.8728715609439694,0.15454269921278257,0.26735451006994476,7.288576615415076,65,15,1,0.1
78,mean_z,0.834375,0.8666666666666667,0.9,0.7559289460184545,0.052145209069958676,0.34231077305638724,1.3830728877432117,65,15,10,0.01
79,mean_z,0.8813492063492063,0.6666666666666666,0.6625,0.325,0.03307829839933148,0.36540203424523005,1.3774761366441897,62,18,10,0.01
80,mean_z,0.7826704545454545,0.8636363636363636,0.8636363636363636,0.7302967433402214,0.18315054420292098,0.3100744863626482,7.585945958422131,58,22,1,scale
81,mean_z,0.8,0.631578947368421,0.675,0.2857738033247041,0.09432389682646114,0.2916164154321214,1.4434381398609475,61,19,10,0.01
82,mean_z,0.8439980158730158,1.0,1.0,1.0,0.03127607663032259,0.3400310543868127,1.4015194012755636,70,10,1,0.01
83,mean_z,0.7952953296703298,0.8,0.8333333333333333,0.6666666666666666,0.033127608640280436,0.35719114085511056,1.3869612970420038,70,10,10,0.01
84,mean_z,0.8897727272727273,0.7368421052631579,0.717948717948718,0.4200412794412907,0.02904091121321046,0.31392821454647196,1.3895960137727916,61,19,10,0.01
85,mean_z,0.7199404761904762,0.8461538461538461,0.8375,0.675,0.0292247420894614,0.3146711734821593,1.4056819810936185,67,13,1,0.01
86,mean_z,0.865625,0.782608695652174,0.7817460317460317,0.5547552232772196,0.03229836358019817,0.36931512311090214,1.402046811545757,57,23,10,0.01
87,mean_z,0.839520202020202,0.7142857142857143,0.696969696969697,0.3373495424699933,0.06829712103512937,0.3257196877912779,1.3942356714617263,66,14,10,0.01
88,mean_z,0.7494994588744589,1.0,1.0,1.0,0.04172161875823773,0.3308424993316192,1.373194770752849,65,15,1,0.01
89,mean_z,0.8538690476190476,0.8666666666666667,0.8295454545454546,0.6590909090909091,0.030368335493687965,0.3331282447133038,1.380288413192621,65,15,10,0.01
90,mean_z,0.7705586080586081,0.8823529411764706,0.8583333333333334,0.7166666666666667,0.1372205374352463,0.23770203884365218,7.661236189676066,63,17,1,0.1
91,mean_z,0.7912660256410255,0.8947368421052632,0.8869047619047619,0.7738095238095238,0.20461029357777832,0.27579532175616855,8.08751708947371,61,19,1,scale
92,mean_z,0.9291914682539684,0.5,0.5,0.0,0.21220281645344266,0.34661826373216637,7.969989300521171,70,10,10,scale
93,mean_z,0.8001443001443002,0.6666666666666666,0.6285714285714286,0.29277002188455997,0.034803609915204856,0.36887912886397534,1.3939621396850201,68,12,1,0.01
94,mean_z,0.6684027777777778,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.03218004830408828,0.2903229015399343,1.4067890956839093,58,22,10,0.01
95,mean_z,0.7993777056277056,0.8125,0.8125,0.674199862463242,0.1858602797611635,0.292320185494226,8.225508996281922,64,16,1,scale
96,mean_z,0.7675054112554113,0.6666666666666666,0.6375,0.3286878675669582,0.1494753810113987,0.2595604571009998,7.2341221869223045,62,18,10,0.1
97,mean_z,0.8439484126984126,0.9,0.9375,0.7637626158259734,0.025937720678564206,0.30130910925043586,1.3853087393772032,70,10,1,0.01
98,mean_z,0.8936011904761905,0.5555555555555556,0.6107954545454546,0.2618924633082486,0.07894173556051665,0.4644402320517221,1.4401798660851404,53,27,1,0.01
99,mean_z,0.8190972222222223,1.0,1.0,1.0,0.1606966621859838,0.2698281739454713,8.114116440392058,71,9,1,scale
