fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_degree,best_gamma,best_coef0
31,mean_z,0.8373969780219781,0.8888888888888888,0.9166666666666667,0.7905694150420948,0.18764253594696398,0.258160164626913,8.181709721359946,71,9,0.1,3,scale,1.0
32,mean_z,0.8877840909090908,0.7142857142857143,0.7291666666666667,0.4583333333333333,0.2392850337450861,0.32187246290056754,8.663193897978127,66,14,0.1,3,0.1,1.0
33,mean_z,0.9025297619047619,0.9,0.8958333333333333,0.7916666666666666,0.1436269175869023,0.2740725597498314,5.2023421631916715,60,20,1.0,2,0.1,1.0
34,mean_z,0.8407061688311688,0.8421052631578947,0.8154761904761905,0.6547702297173061,0.21787985142827934,0.30156355458149153,7.799592576300194,61,19,1.0,3,0.1,1.0
35,mean_z,0.8848214285714285,0.6470588235294118,0.6571428571428571,0.3098898934004561,0.20168305328734834,0.3314874886338415,6.035101598044886,63,17,1.0,2,scale,1.0
36,mean_z,0.859375,1.0,1.0,1.0,0.16041851461413198,0.29659436103389075,5.149260688454414,68,12,1.0,2,0.1,1.0
37,mean_z,0.8497460872460872,0.9230769230769231,0.875,0.8215838362577492,0.16264732383971442,0.26894647528748766,6.260253128483889,67,13,1.0,2,scale,1.0
38,mean_z,0.7461219336219337,0.7222222222222222,0.75,0.5547001962252291,0.21333322469055588,0.3664676548699113,4.979559220432244,62,18,10.0,2,scale,1.0
39,mean_z,0.7479978354978355,0.9,0.9285714285714286,0.8017837257372732,0.23244936451225492,0.2794248972019627,7.97394435189496,60,20,1.0,3,scale,1.0
40,mean_z,0.8612179487179488,1.0,1.0,1.0,0.1984756651526275,0.3389300626439761,5.392861616363529,70,10,1.0,2,scale,1.0
41,mean_z,0.7708333333333333,0.9473684210526315,0.9615384615384616,0.8894991799933215,0.13312221559636375,0.21599889591799573,8.21320869718468,61,19,0.1,3,scale,1.0
42,mean_z,0.8236111111111111,0.875,0.8666666666666667,0.7333333333333333,0.20082085540088307,0.325996218203717,5.870226506063138,64,16,1.0,2,scale,1.0
43,mean_z,0.9151785714285714,0.8421052631578947,0.8285714285714285,0.6225317562548818,0.1958777456172874,0.2662225714395216,8.87339584981768,61,19,0.1,3,scale,1.0
44,mean_z,0.8531249999999999,0.75,0.746031746031746,0.49206349206349204,0.2179604080668888,0.353740642620462,5.886208953763407,64,16,1.0,2,scale,1.0
45,mean_z,0.829301948051948,1.0,1.0,1.0,0.17293436606597098,0.295106344157688,5.910944985230713,74,6,1.0,2,scale,1.0
46,mean_z,0.7350694444444444,0.6363636363636364,0.7333333333333334,0.4666666666666667,0.21164140704952397,0.21328696839614816,6.3193148260686245,58,22,1.0,3,0.1,0.0
47,mean_z,0.8315799396681749,0.6153846153846154,0.6125,0.21957751641341997,0.21123026110734616,0.28452483326838635,8.103096700841382,67,13,10.0,3,0.1,1.0
48,mean_z,0.8512806637806638,0.8235294117647058,0.8166666666666667,0.6038596398555418,0.2031590163909473,0.3342298046102032,5.735959894851101,63,17,1.0,2,scale,1.0
49,mean_z,0.8633928571428573,0.7727272727272727,0.7727272727272727,0.5477225575051661,0.20981111442859607,0.30680654116726475,7.845993163029372,58,22,0.1,3,scale,1.0
50,mean_z,0.7536213786213787,0.6666666666666666,0.675,0.35,0.24111722048133014,0.24844794703195644,8.34346589222093,62,18,0.1,3,1,1.0
51,mean_z,0.8919552669552671,0.8333333333333334,0.7857142857142857,0.6700593942604899,0.201777476788483,0.33163291816037777,5.975456995840104,62,18,1.0,2,scale,1.0
52,mean_z,0.8312791375291375,0.75,0.7857142857142857,0.5976143046671968,0.17164695830635315,0.17832774041798707,6.8126756019555845,68,12,10.0,3,0.1,0.0
53,mean_z,0.8269607843137254,0.9285714285714286,0.5,0.0,0.16871203586392972,0.2679165355595031,5.585178672381332,66,14,1.0,2,scale,1.0
54,mean_z,0.885342261904762,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.21694177230677789,0.356945524003418,5.448969984874503,62,18,1.0,2,0.1,1.0
55,mean_z,0.8419486215538846,0.8571428571428571,0.8541666666666667,0.7083333333333334,0.15572115503082326,0.27792632915041143,5.581021889400302,66,14,1.0,2,scale,1.0
56,mean_z,0.873146645021645,0.8888888888888888,0.875,0.7905694150420948,0.19694887819001575,0.32209638976101523,6.0137902926328906,71,9,1.0,2,scale,1.0
57,mean_z,0.730406746031746,0.8333333333333334,0.8823529411764706,0.6975894322900689,0.20841156424223042,0.29814146541808706,7.504853469269649,56,24,0.1,3,scale,1.0
