fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_gamma
23,mean_z,0.8467261904761905,0.875,0.873015873015873,0.746031746031746,0.03019319245302959,0.30338589411357625,1.4250154143590503,64,16,10,0.01
24,mean_z,0.8333333333333333,0.8125,0.8333333333333333,0.6831300510639732,0.031160262240827085,0.35321744068271255,1.372920018875919,64,16,10,0.01
25,mean_z,0.8601190476190476,0.875,0.875,0.7745966692414834,0.03543704262461651,0.35211615366744725,1.3938431750443896,64,16,10,0.01
26,mean_z,0.8249007936507937,0.75,0.75,0.5,0.035267959607374604,0.3373208720079208,1.3962381691823782,64,16,1,0.01
27,mean_z,0.8740079365079365,0.8125,0.8125,0.629940788348712,0.03466257631809131,0.3478637560264777,1.3812633453318615,64,16,10,0.01
28,mean_z,0.8298611111111112,0.8125,0.8015873015873016,0.6180700462007377,0.19254326188031642,0.33416653297610255,7.4838020207636635,64,16,1,0.1
29,mean_z,0.7814980158730158,1.0,1.0,1.0,0.024058585691738642,0.26976005023002153,1.3815325827618221,64,16,10,0.01
30,mean_z,0.8918650793650793,0.6875,0.6875,0.3779644730092272,0.0411330500319123,0.4176877692602259,1.3803630543242238,64,16,10,0.01
31,mean_z,0.7983630952380952,0.875,0.875,0.75,0.02959086777174897,0.30644804795830355,1.36623049059872,64,16,10,0.01
32,mean_z,0.8757440476190477,0.875,0.875,0.75,0.03632874139804413,0.3385995868742922,1.415646203648609,64,16,10,0.01
33,mean_z,0.8415178571428572,0.875,0.873015873015873,0.746031746031746,0.030937084002582327,0.3219318909665072,1.4087318113101608,64,16,10,0.01
34,mean_z,0.7958829365079365,0.9375,0.9285714285714286,0.8783100656536799,0.027158844188611298,0.30518292939426545,1.364206646365257,64,16,10,0.01
35,mean_z,0.8601190476190477,0.9375,0.9375,0.8819171036881969,0.18674742969090147,0.28985483961556413,8.468568598463209,64,16,1,scale
36,mean_z,0.8377976190476191,0.8125,0.8125,0.629940788348712,0.03970857908978738,0.3658312145849572,1.4078333735315947,64,16,10,0.01
37,mean_z,0.8797123015873016,0.6875,0.6875,0.3779644730092272,0.20226748402124084,0.32450387213381715,8.077697648098317,64,16,1,scale
