fold,best_representation,best_reps,best_bandwidth,best_C,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test
57,mean_z,1,0.05,1,0.6847718253968254,0.75,0.7815126050420168,0.5136098017959848,0.13728508957911953,0.3031346916078551,3.5215567434460353,56,24
58,mean_z,2,0.05,10,0.8022467320261438,0.8095238095238095,0.80625,0.5533985905294664,0.18957577753424384,0.266859179404077,3.9629617175227696,59,21
59,mean_z,1,0.05,10,0.7844246031746032,0.8333333333333334,0.7777777777777777,0.5555555555555556,0.09748279760231275,0.26619887091946676,2.9021212204745908,68,12
60,mean_z,1,0.1,10,0.7932900432900433,0.8333333333333334,0.8333333333333333,0.7071067811865475,0.19503293696197183,0.23980076997073552,10.43081722541281,62,18
61,mean_z,1,0.05,1,0.8366026334776335,0.5,0.5,0.0,0.14601132273382,0.35178965719958494,2.9911288006144883,68,12
62,mean_z,1,0.05,10,0.8410256410256409,0.8666666666666667,0.8888888888888888,0.7637626158259733,0.1107555688616048,0.2975187580033279,2.8412531964697743,65,15
63,mean_z,1,0.1,10,0.7738095238095237,0.7619047619047619,0.75,0.5863019699779286,0.14587558736308331,0.18009548760885183,12.127249623724282,59,21
64,mean_z,1,0.1,10,0.7860479797979798,0.9285714285714286,0.9285714285714286,0.8660254037844387,0.1426919602083005,0.1780304147957287,11.275832750127124,66,14
65,mean_z,1,0.05,10,0.7949786324786325,0.8095238095238095,0.8055555555555556,0.6111111111111112,0.1365796831060357,0.34291708671307153,3.0782731666943004,59,21
66,mean_z,1,0.05,10,0.7320436507936507,0.88,0.8831168831168831,0.761306166786451,0.11385980833234537,0.2330072176865681,3.103852661263504,55,25
67,mean_z,2,0.05,10,0.8636363636363635,0.7857142857142857,0.7444444444444445,0.5185449728701348,0.11978683720457181,0.23352549931182628,4.443152353308751,66,14
68,mean_z,2,0.05,10,0.8190438034188035,0.9090909090909091,0.9285714285714286,0.8280786712108251,0.13475490832401305,0.26128440730551417,4.406786201105632,69,11
69,mean_z,1,0.05,10,0.8239087301587301,0.7777777777777778,0.75,0.5,0.14474848574108418,0.336601387071235,2.8399807300849185,71,9
70,mean_z,2,0.05,10,0.8466585497835498,0.8,0.7878787878787878,0.6005325641789633,0.15066058179415262,0.295463709843987,4.296407107618606,60,20
71,mean_z,1,0.1,10,0.8724764818514819,0.6666666666666666,0.6696428571428572,0.3392857142857143,0.18116423564448011,0.22458377702794005,11.229938773067957,65,15
72,mean_z,2,0.05,10,0.7430555555555555,0.7777777777777778,0.8571428571428572,0.5976143046671968,0.12221980912627077,0.23951253070097822,3.7306131192225873,71,9
73,mean_z,1,0.05,10,0.8302083333333333,0.8421052631578947,0.8295454545454546,0.6746010525388914,0.11412727836923033,0.2678370714047383,3.313056727622922,61,19
74,mean_z,2,0.05,10,0.8556818181818182,0.7058823529411765,0.75,0.5400617248673217,0.14929709751154768,0.33018334072944944,3.941324698438696,63,17
75,mean_z,1,0.05,10,0.8043966450216451,0.8125,0.8166666666666667,0.6180700462007377,0.12731550415594003,0.3148270832225482,3.081155254553232,64,16
76,mean_z,1,0.1,1,0.7413149350649351,0.875,0.8571428571428572,0.7644707871564383,0.13609164077456332,0.17692633744058234,10.526629919554432,64,16
77,mean_z,2,0.05,1,0.7523268398268398,0.7333333333333333,0.7410714285714286,0.49099025303098287,0.14180897965644237,0.2890272970679819,4.028159672826469,65,15
78,mean_z,1,0.1,1,0.7486111111111111,0.9333333333333333,0.95,0.8660254037844386,0.192618002576007,0.21456867969211527,10.704760653664493,65,15
79,mean_z,2,0.05,10,0.8823412698412698,0.7777777777777778,0.775,0.55,0.14041515055449755,0.2705356996001571,4.268526269226212,62,18
80,mean_z,2,0.05,10,0.7107007575757576,0.8181818181818182,0.8181818181818181,0.647150228929434,0.14266614150798146,0.31248381220392774,3.6443955920603797,58,22
81,mean_z,2,0.05,10,0.8647727272727274,0.5263157894736842,0.6083333333333334,0.1789066118330336,0.16986122263702225,0.22220002362214789,4.704676753660871,61,19
82,mean_z,2,0.1,1,0.8628968253968254,0.6,0.375,-0.25,0.179278954747561,0.2259981318476378,15.561361454195572,70,10
83,mean_z,1,0.1,10,0.759976481851482,0.9,0.9166666666666667,0.816496580927726,0.16328977831042066,0.21386803701167972,10.4755836155182,70,10
84,mean_z,2,0.05,10,0.8932449494949495,0.7894736842105263,0.7564102564102564,0.5128205128205128,0.12750724708926484,0.24995589430076562,4.278766315030927,61,19
85,mean_z,2,0.1,10,0.7311011904761904,0.8461538461538461,0.8,0.6928203230275508,0.14226105501013273,0.1753867486924141,16.21169236095002,67,13
86,mean_z,1,0.05,10,0.8425595238095237,0.782608695652174,0.7817460317460317,0.5547552232772196,0.12202659584125126,0.3238679937258553,3.111888448934485,57,23
87,mean_z,1,0.1,10,0.845377886002886,0.5714285714285714,0.7272727272727273,0.3892494720807615,0.18924280117781034,0.1922145624775367,10.305081769327249,66,14
88,mean_z,2,0.1,1,0.7742559523809525,0.6,0.5833333333333333,0.16666666666666666,0.20284094409111905,0.24361577248875935,14.35144939728524,65,15
89,mean_z,1,0.05,1,0.7904761904761904,0.7333333333333333,0.7386363636363636,0.43082021842766455,0.11339246857382002,0.2967943481103938,2.9632782518171634,65,15
