fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C
24,mean_z,0.8333333333333333,0.8125,0.8333333333333333,0.6831300510639732,0.3251588614579798,0.35566578658437376,3.8790261590056274,64,16,1.0
25,mean_z,0.8578869047619048,0.8125,0.8125,0.629940788348712,0.3396585010623385,0.35146295901671604,3.9018272026204364,64,16,0.1
26,mean_z,0.8700396825396826,0.8125,0.8125,0.629940788348712,0.30862663973515275,0.3406542013450527,3.8076043273014717,64,16,10.0
27,mean_z,0.8583829365079365,0.75,0.75,0.5,0.31781495530823367,0.3472590001824984,3.8095753099508,64,16,1.0
28,mean_z,0.8298611111111112,0.8125,0.8015873015873016,0.6180700462007377,0.34968432631038676,0.38112614421279806,3.5540314109566524,64,16,10.0
29,mean_z,0.8110119047619048,1.0,1.0,1.0,0.23161732084553222,0.27026522780838635,3.947720383490104,64,16,0.1
30,mean_z,0.8762400793650793,0.75,0.75,0.5,0.3990789024816182,0.41850587387078425,3.7173444510564972,64,16,1.0
31,mean_z,0.8340773809523809,0.875,0.875,0.75,0.285930005569983,0.3077865724583796,3.9603960818058157,64,16,1.0
32,mean_z,0.8501984126984128,0.875,0.875,0.75,0.3148557837705248,0.340374041631382,3.7878654906918885,64,16,10.0
33,mean_z,0.8571428571428572,0.8125,0.8015873015873016,0.6180700462007377,0.29673858538542547,0.3231662390323317,4.006545506810966,64,16,10.0
34,mean_z,0.7958829365079365,0.9375,0.9285714285714286,0.8783100656536799,0.27797697675120076,0.30373916991695715,3.644505259879485,64,16,0.1
35,mean_z,0.8735119047619048,0.8125,0.8125,0.674199862463242,0.30635477486368,0.32609724448803745,3.769608086185298,64,16,1.0
36,mean_z,0.8377976190476191,0.8125,0.8125,0.629940788348712,0.3491878752710586,0.3665991640256447,3.634258417108512,64,16,1.0
37,mean_z,0.8913690476190476,0.75,0.75,0.5163977794943222,0.36564877140765784,0.40277389164412414,3.6793065646132694,64,16,1.0
