fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C
42,mean_z,0.8621527777777778,0.875,0.8666666666666667,0.7333333333333333,0.33157926396659226,0.3525892442324401,3.7858742643889602,64,16,0.1
43,mean_z,0.8407738095238095,0.7894736842105263,0.7285714285714285,0.45714285714285713,0.29039171067958297,0.31700779379277094,3.7822627592699822,61,19,10.0
44,mean_z,0.8216346153846155,0.75,0.746031746031746,0.49206349206349204,0.37310053240897595,0.3891751278829673,3.682007375817421,64,16,1.0
45,mean_z,0.7834686147186146,1.0,1.0,1.0,0.29849306492315003,0.3199009756980652,3.894359712343782,74,6,0.1
46,mean_z,0.8163194444444444,0.9090909090909091,0.9333333333333333,0.821020142307163,0.2677751756204915,0.276903484832496,3.8532506143417855,58,22,1.0
47,mean_z,0.8548642533936652,0.8461538461538461,0.8375,0.675,0.3302537689837509,0.34583999668046234,3.8657448435169526,67,13,1.0
48,mean_z,0.8676046176046176,0.7647058823529411,0.775,0.5092010548749033,0.3505156655576204,0.37004504885934486,3.764428706380868,63,17,0.1
49,mean_z,0.8633928571428573,0.7727272727272727,0.7727272727272727,0.5477225575051661,0.3332046748155034,0.3643995904655801,3.840032842385263,58,22,1.0
50,mean_z,0.8050886613386613,0.8333333333333334,0.8375,0.6708203932499369,0.35474795044726487,0.36510055760077964,3.5733339469837486,62,18,1.0
51,mean_z,0.8363546176046176,0.8333333333333334,0.7857142857142857,0.6700593942604899,0.3386380459266332,0.36061383612068393,3.902011278866087,62,18,1.0
52,mean_z,0.8173902486402487,0.8333333333333334,0.8571428571428572,0.7142857142857143,0.23363134844732084,0.2829869876220192,3.827935706151937,68,12,1.0
53,mean_z,0.7894607843137256,0.8571428571428571,0.46153846153846156,-0.07692307692307693,0.26849662801786756,0.29449728352474386,3.9829298565206086,66,14,10.0
54,mean_z,0.869717261904762,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.35922975614045743,0.3743927258774046,3.6864101464265437,62,18,1.0
55,mean_z,0.8217731829573935,0.7857142857142857,0.7708333333333333,0.5594309277855158,0.2707865168071218,0.3027425565131693,3.944091704601112,66,14,0.1
56,mean_z,0.841896645021645,0.8888888888888888,0.875,0.7905694150420948,0.32439664420795555,0.33784848704479487,3.7774515300583094,71,9,1.0
57,mean_z,0.7251984126984128,0.7916666666666666,0.8109243697478992,0.5733162099493055,0.30392767791468006,0.3494359507876599,3.630917621520146,56,24,0.1
58,mean_z,0.8161356209150328,0.8095238095238095,0.80625,0.5533985905294664,0.31431172785991757,0.35132177011395704,3.73845350826809,59,21,1.0
59,mean_z,0.821875,0.8333333333333334,0.8888888888888888,0.6831300510639732,0.28909554622959077,0.31451694135868374,3.7871744531587193,68,12,0.1
60,mean_z,0.8329274891774892,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.324353926537541,0.35197634785653686,3.6738143625457176,62,18,1.0
61,mean_z,0.7613501082251083,0.9166666666666666,0.9166666666666667,0.8451542547285166,0.3344671799783434,0.366125131606964,3.75655333420745,68,12,1.0
62,mean_z,0.8415064102564103,0.8,0.8333333333333333,0.6666666666666666,0.31022222684128853,0.3336162404617307,3.6916582092882715,65,15,10.0
63,mean_z,0.8422619047619047,0.8095238095238095,0.8045454545454545,0.6264144833056663,0.2765063190050229,0.297108374987559,3.8858647322959334,59,21,0.1
64,mean_z,0.8211489898989899,0.7142857142857143,0.7142857142857142,0.4472135954999579,0.31212219092498994,0.3410777777134615,3.9499960681854294,66,14,10.0
65,mean_z,0.8211538461538461,0.8095238095238095,0.8055555555555556,0.6111111111111112,0.31157614141452855,0.3400350958955182,3.8589947847729484,59,21,0.1
66,mean_z,0.7723214285714286,0.92,0.9188311688311688,0.8376623376623377,0.2602670663055767,0.2801683941489081,3.747369015314178,55,25,1.0
67,mean_z,0.8705808080808082,0.7142857142857143,0.6444444444444444,0.3373495424699933,0.31201479336692545,0.3323309474761767,3.910847611427614,66,14,10.0
68,mean_z,0.8522779304029304,0.9090909090909091,0.9285714285714286,0.8280786712108251,0.2991932428538106,0.32096843584798346,3.72097065235897,69,11,1.0
69,mean_z,0.8433779761904763,0.6666666666666666,0.6666666666666666,0.31622776601683794,0.38013269088223056,0.4018492705004768,3.636374200335812,71,9,10.0
70,mean_z,0.8122294372294372,0.85,0.8434343434343434,0.6975184488828855,0.34080859373520545,0.3629022380981176,3.751009093638803,60,20,10.0
71,mean_z,0.8642919580419579,0.7333333333333333,0.7232142857142857,0.472455591261534,0.331975384098134,0.35592058143638666,3.7209007215812653,65,15,0.1
72,mean_z,0.7916666666666666,1.0,1.0,1.0,0.2634121336916494,0.29460605623276875,3.899826603713526,71,9,1.0
73,mean_z,0.8986111111111111,0.7894736842105263,0.7840909090909092,0.5681818181818182,0.32656722361767154,0.343730324287278,3.7965772720100324,61,19,0.1
74,mean_z,0.8469155844155845,0.8235294117647058,0.85,0.7,0.3171184263986027,0.34026787547197873,3.8669549158516348,63,17,10.0
75,mean_z,0.8336174242424242,0.75,0.7666666666666666,0.5163977794943222,0.3330375006879343,0.3575934088811208,3.8559384494568816,64,16,10.0
76,mean_z,0.8114448051948052,0.9375,0.9285714285714286,0.8783100656536799,0.2897188839482063,0.3196632473000192,3.65542363421772,64,16,1.0
77,mean_z,0.7933982683982683,0.9333333333333333,0.9285714285714286,0.8728715609439694,0.28405749789751994,0.30313436855182563,3.7418539077610853,65,15,1.0
78,mean_z,0.8621527777777777,0.8666666666666667,0.8500000000000001,0.7,0.3248752249176463,0.3446050427596764,3.8361011355077648,65,15,1.0
79,mean_z,0.9117063492063492,0.6666666666666666,0.6625,0.325,0.33832818965689576,0.3659939419992766,3.8467215020371848,62,18,0.1
80,mean_z,0.7436079545454545,0.8636363636363636,0.8636363636363636,0.7302967433402214,0.30411669067139124,0.3521050662147582,3.607004679353168,58,22,10.0
81,mean_z,0.8501893939393939,0.7894736842105263,0.775,0.48238191061886604,0.2731909180378883,0.29500810480061007,3.8321509857850096,61,19,10.0
82,mean_z,0.8299107142857143,1.0,1.0,1.0,0.30982255444257306,0.3396702395206779,3.667903142398456,70,10,1.0
83,mean_z,0.8049107142857144,0.8,0.8333333333333333,0.6666666666666666,0.33203942680486265,0.3591575068969998,3.6943404638423685,70,10,10.0
84,mean_z,0.8741477272727273,0.7368421052631579,0.717948717948718,0.4200412794412907,0.29752726392309453,0.3143291825618724,3.7810699522139664,61,19,1.0
85,mean_z,0.7453869047619046,0.9230769230769231,0.9375,0.8539125638299666,0.2974203494855377,0.3169574962573796,3.8578535984822806,67,13,10.0
86,mean_z,0.8677083333333333,0.782608695652174,0.7817460317460317,0.5547552232772196,0.35358435245533154,0.369969264259471,3.952264478869731,57,23,10.0
87,mean_z,0.861395202020202,0.7142857142857143,0.696969696969697,0.3373495424699933,0.3151919643809124,0.3262281190395208,3.686189739756713,66,14,1.0
88,mean_z,0.7225108225108225,1.0,1.0,1.0,0.31172870403280306,0.3309348243294091,3.635753378603994,65,15,0.1
89,mean_z,0.831547619047619,0.8,0.7840909090909092,0.533001790889026,0.30392129053478245,0.3325256694436268,3.871788291384762,65,15,1.0
90,mean_z,0.802014652014652,0.9411764705882353,0.9,0.8593378488473195,0.24620495902314837,0.26883481300715484,3.8796449361990297,63,17,1.0
91,mean_z,0.8008814102564102,0.8947368421052632,0.8869047619047619,0.7738095238095238,0.31763868511774795,0.34751120893987203,3.6583214696325013,61,19,10.0
92,mean_z,0.9366319444444444,0.5,0.5,0.0,0.38795722968331964,0.40281805666001225,3.867467022906936,70,10,10.0
93,mean_z,0.7835723304473304,0.8333333333333334,0.8285714285714285,0.6571428571428571,0.3358857058118404,0.3692170543402337,3.7386855058363757,68,12,10.0
94,mean_z,0.6892361111111112,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.26466948275090596,0.2926554652894923,3.9113192410513453,58,22,1.0
95,mean_z,0.7658549783549784,0.875,0.875,0.7745966692414834,0.32458436670792884,0.3458499967154551,3.8941563993211976,64,16,10.0
96,mean_z,0.7589736652236652,0.8888888888888888,0.9,0.8,0.26948094195608074,0.2988818589061198,3.7182553985737963,62,18,10.0
97,mean_z,0.8439484126984126,0.9,0.9375,0.7637626158259734,0.2609317688074258,0.3031320802652675,4.031665073827312,70,10,0.1
98,mean_z,0.9007440476190476,0.7407407407407407,0.7670454545454546,0.5340909090909091,0.4365675542699166,0.46499478012003226,3.6644662098466387,53,27,1.0
99,mean_z,0.8486111111111111,1.0,1.0,1.0,0.28039796278736356,0.3060252483840195,3.679518761541674,71,9,1.0
