fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_gamma
39,0.6875,0.6746031746031746,0.3578300267477955,0.049773969890274807,0.08376427887316006,11.089748588573796,16,10.0,scale
40,0.5,0.5,0.0,0.11827355214149811,0.12186296606139503,47.18316036533804,16,1.0,0.1
41,0.5,0.5,0.0,0.12421074720714792,0.12631241594950815,56.673506441175554,16,1.0,1
42,0.5,0.5,0.0,0.05257201496147168,0.08001582015039006,11.25368594009669,16,10.0,scale
43,0.5625,0.5634920634920635,0.1259881576697424,0.12236356332477082,0.1250029825304315,50.94823887862233,16,1.0,0.1
44,0.5625,0.5952380952380952,0.21821789023599236,0.11897139454066923,0.12185556311981142,47.092780058581646,16,10.0,0.1
45,0.5625,0.5625,0.1259881576697424,0.04663297640563559,0.07281901046712749,11.381442141057839,16,10.0,scale
46,0.5,0.5,0.0,0.12401391021199437,0.12532793803229472,49.470591030486204,16,10.0,0.1
47,0.5625,0.5625,0.1259881576697424,0.045348791279461315,0.07041360906263787,10.972782893797616,16,10.0,scale
48,0.5,0.4920634920634921,-0.015873015873015872,0.050457519257992495,0.08678497918914958,10.917468207516336,16,1.0,scale
49,0.5,0.5079365079365079,0.015873015873015872,0.11704720791521003,0.12020974524766832,48.04465872534447,16,10.0,0.1
50,0.5625,0.5625,0.13483997249264842,0.12076006776624353,0.12401822739305034,47.05408845050413,16,10.0,0.1
51,0.5625,0.5625,0.1259881576697424,0.04890160573624732,0.07546019044848204,11.478616129978722,16,10.0,scale
52,0.6875,0.6875,0.48038446141526137,0.11193295453334057,0.11439378085630933,48.25055865226157,16,1.0,0.1
53,0.4375,0.45238095238095233,-0.09759000729485331,0.1148272237099545,0.11736929384389144,47.80846430339625,16,10.0,0.1
54,0.6875,0.7063492063492063,0.42289003161103106,0.04474928815102679,0.07541399407122917,11.346266981531901,16,10.0,scale
55,0.5,0.5,0.0,0.12786941464867624,0.1298771079020048,57.21233983681392,16,1.0,1
56,0.375,0.375,-0.2886751345948129,0.12896167724549354,0.13012611699162116,48.93748567093202,16,10.0,0.1
57,0.625,0.625,0.2581988897471611,0.0541785028049195,0.08371102296288889,10.739598553344445,16,10.0,scale
58,0.6875,0.6904761904761905,0.3779644730092272,0.046930365273245914,0.07855873215213811,11.360775612326975,16,10.0,scale
59,0.6875,0.6904761904761905,0.3779644730092272,0.045965236124884866,0.07897520763233845,11.93103328871421,16,10.0,scale
60,0.375,0.375,-0.2581988897471611,0.028724927083430468,0.08219539649985914,3.663744838251982,16,10.0,0.01
61,0.4375,0.4375,-0.1259881576697424,0.022444237929854935,0.05885862534665492,3.4691225929751597,16,10.0,0.01
