fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_degree,best_gamma,best_coef0
24,0.4375,0.42063492063492064,-0.16265001215808886,-0.011565726999977273,0.07389175775557294,23.0598249513309,16,1.0,3,0.1,1.0
25,0.4375,0.4375,-0.13483997249264842,0.0714732292486272,0.08940312712839875,16.78611207555624,16,1.0,2,scale,0.0
26,0.4375,0.4375,-0.1259881576697424,0.07888406457827835,0.09543235879570419,16.982712219716547,16,1.0,2,scale,0.0
27,0.9375,0.9375,0.8819171036881969,-0.011552928450042318,0.06451190913393201,20.682207847167952,16,1.0,3,0.1,0.0
28,0.6875,0.6587301587301587,0.363696483726654,0.012750048478143046,0.09201161389261059,21.620058676920248,16,0.1,3,0.1,1.0
29,0.6875,0.6746031746031746,0.3578300267477955,0.0016955298982920973,0.07540594430761172,21.55295614929394,16,10.0,3,0.1,0.0
30,0.375,0.375,-0.2581988897471611,0.001905126893828173,0.08140329155157373,21.757760251920608,16,0.1,3,0.1,1.0
31,0.625,0.625,0.2886751345948129,0.014221491103923577,0.09110598777071033,21.79232665611965,16,0.1,3,0.1,1.0
32,0.625,0.625,0.2581988897471611,-0.00987777576637444,0.06637424703613436,16.890236266716446,16,1.0,2,0.1,0.0
33,0.6875,0.6587301587301587,0.363696483726654,0.014488630477288576,0.08466768399552937,21.84329906502899,16,1.0,3,0.1,0.0
34,0.5,0.4920634920634921,-0.015873015873015872,0.07530794716227285,0.09266706573282966,16.9612396376481,16,10.0,2,scale,0.0
35,0.5,0.5,0.0,-0.005102964268772831,0.07150007848483476,21.26403696192321,16,10.0,3,0.1,0.0
36,0.5,0.5,0.0,0.013453299704126669,0.09181260032568829,15.442249070108721,16,10.0,2,0.1,1.0
37,0.5,0.5,0.0,0.07735807211837469,0.09596181483005407,16.676536911360973,16,1.0,2,scale,0.0
38,0.625,0.6190476190476191,0.23809523809523808,0.02214829665947193,0.09020594951348838,22.273332310655924,16,0.1,3,0.1,0.0
39,0.6875,0.6746031746031746,0.3578300267477955,0.004976537655239194,0.06852107070029717,6.310927585378594,16,10.0,2,scale,1.0
40,0.5,0.5,0.0,0.09008360003812974,0.09170021344104559,23.014388350520903,16,10.0,3,scale,0.0
41,0.5625,0.5625,0.1259881576697424,0.009979384643326795,0.08348488849541152,14.581024962765513,16,10.0,2,0.1,1.0
42,0.5625,0.5625,0.1259881576697424,-0.00453547064038514,0.07564353732780836,16.745180732614546,16,1.0,2,1,1.0
43,0.5,0.5238095238095238,0.050964719143762556,0.00106470280670536,0.08063736777080753,17.5596526946444,16,1.0,2,1,0.0
44,0.625,0.6349206349206349,0.2698412698412698,-0.005745284396490895,0.0771649111825155,21.862663573587096,16,0.1,3,0.1,1.0
45,0.5625,0.5625,0.1259881576697424,0.011140242481361487,0.084355382877594,16.21892770565172,16,0.1,2,0.1,0.0
46,0.4375,0.4375,-0.13483997249264842,0.013600588157944725,0.08811820092309876,17.10303158243622,16,1.0,2,0.1,0.0
47,0.5625,0.5625,0.1259881576697424,-0.019367600970821987,0.06463353856088254,21.64548249837726,16,0.1,3,1,0.0
48,0.5625,0.5476190476190476,0.09759000729485331,0.017572594954305683,0.09348339901336485,20.680309682574663,16,0.1,3,0.1,1.0
49,0.5,0.5079365079365079,0.015873015873015872,0.009015617843534687,0.08644598672749813,17.61102826087804,16,1.0,2,0.1,0.0
50,0.5,0.5,0.0,0.005100581136995437,0.08368621292648822,16.50405415811386,16,1.0,2,1,1.0
51,0.625,0.625,0.2581988897471611,0.01664965959083393,0.09345007799388615,22.302803505212005,16,0.1,3,0.1,1.0
52,0.6875,0.6875,0.40451991747794525,0.014626450724061447,0.08926742250594516,24.805803256426156,16,1.0,3,0.1,0.0
53,0.4375,0.45238095238095233,-0.09759000729485331,0.012246046555443871,0.09144719049418752,16.24278332255224,16,1.0,2,1,1.0
54,0.4375,0.4365079365079365,-0.1259881576697424,0.06943825257782306,0.08503214411660094,16.818060146556117,16,1.0,2,scale,0.0
55,0.5625,0.5625,0.16012815380508713,0.012716494720843748,0.09233172548742977,15.811733287430426,16,0.1,2,1,0.0
56,0.6875,0.6875,0.3779644730092272,0.008498303846939746,0.0875390957851015,22.73263436610492,16,1.0,3,0.1,1.0
57,0.625,0.625,0.25,0.010018905110797652,0.08660825805217316,20.79875946794438,16,0.1,3,0.1,1.0
58,0.4375,0.42063492063492064,-0.16265001215808886,0.013719476624114347,0.08118262546813401,20.423237665151223,16,10.0,3,0.1,0.0
59,0.6875,0.6904761904761905,0.3779644730092272,-0.002166566310458564,0.07785241845177157,23.32812368375271,16,0.1,3,1,0.0
60,0.375,0.375,-0.2581988897471611,0.019271056258297167,0.0943346282498012,16.383940673235504,16,0.1,2,0.1,0.0
61,0.4375,0.4375,-0.1259881576697424,0.0022786371581939116,0.05829589966516517,6.303947601281758,16,10.0,2,scale,1.0
62,0.625,0.625,0.2581988897471611,0.02030360366497625,0.08715898738143985,21.959001239781045,16,10.0,3,0.1,0.0
63,0.5625,0.5634920634920635,0.1259881576697424,0.015745347953911505,0.08814086480282096,22.7111369514845,16,0.1,3,1,1.0
64,0.5,0.47619047619047616,-0.050964719143762556,0.0013660747154573558,0.07818656547079438,21.94526084050057,16,0.1,3,1,1.0
65,0.6875,0.6875,0.3779644730092272,0.11223691670264808,0.1065280802011528,21.798766455125094,16,10.0,3,scale,0.0
66,0.625,0.625,0.2886751345948129,-0.0010259533304964891,0.0741152049996024,17.21307888914738,16,1.0,2,0.1,0.0
67,0.5,0.5,0.0,0.06946369644346785,0.08390699621266488,15.934191927702235,16,10.0,2,scale,0.0
68,0.625,0.6031746031746031,0.22084711628963774,0.0017215458348325162,0.08336572920165378,22.206744671559083,16,0.1,3,0.1,1.0
69,0.625,0.6031746031746031,0.22084711628963774,0.07135394615169534,0.07259778584864439,22.20596920560056,16,10.0,3,scale,0.0
70,0.6875,0.6875,0.48038446141526137,-0.004214722236525349,0.07374318161837319,22.39230495249898,16,0.1,3,0.1,0.0
71,0.5625,0.5625,0.1259881576697424,0.01398140818510007,0.09113368552567365,16.33205556726431,16,0.1,2,1,0.0
72,0.75,0.75,0.5163977794943222,0.0035581921009895643,0.08706521340461,22.711090460797134,16,0.1,3,0.1,1.0
73,0.75,0.746031746031746,0.49206349206349204,0.0081464327692635,0.08698865871391108,22.368115138768395,16,1.0,3,0.1,1.0
74,0.5,0.46031746031746035,-0.10087125544480041,-0.006352800820393218,0.06379792117155851,11.707426481847213,16,0.1,3,scale,1.0
75,0.4375,0.4375,-0.13483997249264842,0.06817118501888322,0.08539130397444993,17.4593791782681,16,10.0,2,scale,0.0
76,0.6875,0.6875,0.40451991747794525,0.019261637648865928,0.0880461110885363,21.87912569451009,16,0.1,3,0.1,0.0
77,0.5,0.5,0.0,0.016842511163119894,0.0895109822675951,16.09734421279682,16,0.1,2,0.1,0.0
78,0.5,0.47619047619047616,-0.050964719143762556,0.07284177587921137,0.07320644749448188,21.58521260825732,16,1.0,3,scale,0.0
79,0.75,0.7142857142857143,0.5447047794019222,0.017064487526059286,0.08626452545395263,21.961576132439426,16,0.1,3,0.1,0.0
80,0.625,0.625,0.2581988897471611,0.0018398857447405469,0.0740617939587119,21.15027946761967,16,0.1,3,0.1,0.0
81,0.5625,0.5625,0.1259881576697424,0.013197057799224173,0.093757329561022,23.236869873924956,16,1.0,3,0.1,1.0
82,0.6875,0.6875,0.3779644730092272,0.008131627786848058,0.07140029247935993,6.469200615925275,16,10.0,2,scale,1.0
83,0.5625,0.5634920634920635,0.1259881576697424,-0.009184463682692325,0.0751124213809259,21.80511809931925,16,10.0,3,0.1,1.0
84,0.6875,0.7063492063492063,0.42289003161103106,-0.0019603992109703825,0.0710455061014078,20.564043382677482,16,0.1,3,1,0.0
85,0.625,0.625,0.25,-0.002834560670604144,0.07242882040894416,21.725499840545062,16,0.1,3,0.1,0.0
86,0.5625,0.5625,0.13483997249264842,0.009986288924505246,0.07751491927734253,20.654725756875802,16,1.0,3,0.1,0.0
87,0.6875,0.6875,0.40451991747794525,0.07617080479076387,0.07965043763466911,22.044716782362855,16,10.0,3,scale,0.0
88,0.75,0.7619047619047619,0.5238095238095238,0.07816057026665074,0.09447230638907538,16.59609078308453,16,10.0,2,scale,0.0
89,0.6875,0.6904761904761905,0.3779644730092272,-0.004252207585066896,0.05151744848634503,6.343099683949712,16,10.0,2,scale,1.0
90,0.75,0.75,0.5,-0.0008122525605829097,0.07621697015849371,21.85850907537031,16,0.1,3,1,1.0
91,0.5625,0.5625,0.13483997249264842,0.07001627962945928,0.07212155134194599,22.73078790680231,16,10.0,3,scale,0.0
92,0.5,0.5,0.0,0.011884388561281189,0.0871291633614658,16.94943706455193,16,0.1,2,0.1,0.0
93,0.4375,0.4365079365079365,-0.1259881576697424,0.015334825765848013,0.09177445325595089,14.75247552983297,16,1.0,2,0.1,1.0
94,0.5625,0.5634920634920635,0.1259881576697424,0.03455159047417821,0.09722646113815202,21.771625472006498,16,0.1,3,0.1,0.0
95,0.6875,0.6875,0.40451991747794525,-0.0056439104163828946,0.0739729377473449,22.576607249086255,16,0.1,3,0.1,0.0
96,0.625,0.625,0.2581988897471611,-0.0007038081901262379,0.07289633455391473,15.338649095973178,16,1.0,2,0.1,1.0
97,0.5,0.5,0.0,0.014522520748665816,0.08849561653290049,16.266386212646367,16,1.0,2,0.1,0.0
98,0.5625,0.5634920634920635,0.1259881576697424,0.07558319954961387,0.09198403526255525,16.444767073772525,16,1.0,2,scale,0.0
99,0.625,0.6031746031746031,0.22084711628963774,0.08580101334407017,0.08448712721210834,22.403243649214193,16,10.0,3,scale,0.0
